go2_mode,completed_rows,position_rmse_h_mean,position_rmse_h_median,up_rmse_mean,roll_rmse_mean,pitch_rmse_mean,yaw_rmse_diagnostic_mean
G00_NO_GO2,91,3.0018876115857136,1.8766727197754822,12.478745661433944,2.570647198749602,3.027355377097101,74.44291109163312
G01_GO2_RP_ONLY,91,2.983741619864644,1.9603518881497801,12.484161510723904,2.4056561257047906,2.6972715269852787,96.88522792607576
G02_GO2_HVEL_ONLY,91,3.042875862135174,1.8730508428457602,12.482594176942804,2.6791304813242545,3.1028102484224793,75.82072929740613
G03_GO2_READINESS_ONLY,90,3.105178827132812,2.0115758903543552,12.515083520539537,2.5916681404074433,3.0492298510035027,76.16177781943776
G04_GO2_RP_HVEL,90,3.0173391026348213,1.9651579240512005,12.500554508871055,2.4198140184998485,2.7532422937273413,94.15399564795908
G05_GO2_FULL_AUX,90,3.093827852496121,2.0445064670710607,12.514632915356938,2.433165808362344,2.759523793813578,94.0971395305509
