dataset,case_id,family,go2_mode,resume_action,reason,last_modified
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,G03_GO2_READINESS_ONLY,RERUN_PARTIAL_OR_CORRUPTED,evaluation_summary_missing_or_zero,2026-06-14T23:51:39
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,G04_GO2_RP_HVEL,RERUN_PARTIAL_OR_CORRUPTED,evaluation_summary_missing_or_zero,2026-06-14T23:51:43
BY3,BY3_H_dual_yaw_noise_004,yaw_noise,G05_GO2_FULL_AUX,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:50:50
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,G00_NO_GO2,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:50:59
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,G01_GO2_RP_ONLY,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:00
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,G02_GO2_HVEL_ONLY,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:02
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,G03_GO2_READINESS_ONLY,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:17
BY3,BY3_H_dual_yaw_noise_005,yaw_noise,G04_GO2_RP_HVEL,RERUN_PARTIAL_OR_CORRUPTED,EVAL_NAV_missing_or_zero;LegSA_PORT_NAV_missing_or_zero;LegSA_PORT_STD_missing_or_zero;RUN_MANIFEST_missing_or_zero;evaluation_summary_missing_or_zero,2026-06-14T23:51:20
