dataset,case_id,family,go2_mode,resume_action,completed_evaluable,go2_readiness_lsim_metadata_enabled,source_aware_go2_readiness_lsim_enabled,go2_readiness_first_class_lsim,go2_readiness_lsim_provider_status,go2_readiness_lsim_metadata_count,go2_readiness_lsim_matched_metadata_count,go2_readiness_trace_solver_input,go2_readiness_go2_position_truth_claim,go2_readiness_go2_yaw_truth_claim
BY3,BY3_M_mixed_015,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,114,False,False,False
BY3,BY3_M_mixed_015,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,233,False,False,False
BY3,BY3_M_mixed_016,mixed,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,52,False,False,False
BY3,BY3_M_mixed_016,mixed,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,104,False,False,False
BY3,BY3_normal_000,normal,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
BY3,BY3_normal_000,normal,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
BY3,BY3_A_outage_001,outage,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,564,False,False,False
BY3,BY3_A_outage_001,outage,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1126,False,False,False
BY3,BY3_A_outage_002,outage,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,560,False,False,False
BY3,BY3_A_outage_002,outage,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1118,False,False,False
BY3,BY3_A_outage_003,outage,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,550,False,False,False
BY3,BY3_A_outage_003,outage,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1098,False,False,False
BY3,BY3_A_outage_004,outage,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,530,False,False,False
BY3,BY3_A_outage_004,outage,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1058,False,False,False
BY3,BY3_C_position_noise_001,position_noise,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,570,False,False,False
BY3,BY3_C_position_noise_001,position_noise,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1415,False,False,False
BY3,BY3_C_position_noise_002,position_noise,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,838,False,False,False
BY3,BY3_C_position_noise_002,position_noise,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1188,False,False,False
BY3,BY3_C_position_noise_003,position_noise,G03_GO2_READINESS_ONLY,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,602,False,False,False
BY3,BY3_C_position_noise_003,position_noise,G05_GO2_FULL_AUX,SKIP_ALREADY_COMPLETED,True,True,True,True,available,63222,1138,False,False,False
