source_stage,family,rows,mean_yaw_rmse_deg,median_yaw_rmse_deg,mean_yaw_mae_deg,mean_coverage_ratio
PAPER3F,A_outage,24,109.88171025176545,103.84878354945559,98.20139870754834,0.8280197196408587
PAPER3F,B_ratio_downsample,18,107.57482566873335,103.89001535201595,95.2589621323972,0.8203975792518685
PAPER3F,C_position_noise,180,111.0563214769017,103.75290182182505,98.56528769704427,0.8126794786834548
PAPER3F,D_position_spike,180,111.46856732982971,103.9848528162744,99.03216929094411,0.8126794786834548
PAPER3F,E_position_std_inflation,18,111.55581139610179,104.00605851349822,99.13520273692887,0.8126794786834548
PAPER3F,E_yaw_std_inflation,18,111.55581139610179,104.00605851349822,99.13520273692887,0.8126794786834548
PAPER3F,H_dual_yaw_noise,180,111.55581139610179,104.00605851349822,99.13520273692886,0.8126794786834548
PAPER3F,M_mixed,96,110.51398514116102,103.83900678149996,97.98917259736858,0.8130062409757789
PAPER3F,normal,6,111.55581139610179,104.00605851349822,99.13520273692887,0.8126794786834548
PAPER3G,A_outage,24,98.99985129407925,95.9366794430271,80.97566926066811,0.2360804513122394
PAPER3G,B_ratio_downsample,18,101.83631863518586,99.00020002178817,84.79754476091281,0.24282560706401768
PAPER3G,C_position_noise,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3G,D_position_spike,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3G,E_position_std_inflation,18,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449525
PAPER3G,E_yaw_std_inflation,18,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449525
PAPER3G,H_dual_yaw_noise,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3G,M_mixed,96,100.316997952347,97.5239793928165,83.43329054630463,0.23841059602649006
PAPER3G,normal,6,97.9211923737987,94.64891810380861,80.4251286310466,0.23580737795449525
PAPER3H,A_outage,24,98.99985129407925,95.9366794430271,80.97566926066811,0.2360804513122394
PAPER3H,B_ratio_downsample,18,101.83631863518586,99.00020002178817,84.79754476091281,0.24282560706401768
PAPER3H,C_position_noise,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3H,D_position_spike,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3H,E_position_std_inflation,18,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449525
PAPER3H,E_yaw_std_inflation,18,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449525
PAPER3H,H_dual_yaw_noise,180,97.9211923737987,94.64891810380861,80.42512863104659,0.23580737795449527
PAPER3H,M_mixed,96,100.316997952347,97.5239793928165,83.43329054630463,0.23841059602649006
PAPER3H,normal,6,97.9211923737987,94.64891810380861,80.4251286310466,0.23580737795449525
