source_stage,dataset,method_id,case_id,blocked_reason,source_epoch_output_csv
PAPER3I,BY2,P3I_WU_EQKF_NATIVE_DIAGNOSTIC,diagnostic_sample,NOT_BASELINE_STATE_ESTIMATE_DDLOS_ROW_HEADING_NO_CASE_EPOCH_OUTPUT_POINTER,
PAPER3I,BY2,P3I_PAVLASEK_IEKF_NATIVE_DIAGNOSTIC,diagnostic_summary,NO_BASELINE_HEADING_EPOCH_OUTPUT_FOR_OFFLINE_BODY_YAW_REEVALUATION,
