slot_id,role,summary_R1_sha256,summary_R2_sha256,error_series_R1_sha256,error_series_R2_sha256,passed,R1_available_metric_fields,R1_available_metrics_equal,trace_open_count,trace_sha256,audit_status_R1,audit_status_R2,horizontal_max_m,up_max_m,yaw_max_deg,residual_file,residual_sha256
BY2__LC01__LIT__D06_seed_03__seed_03__v2,FULL,2c6e5440c749aed4b1a5fd8e71ebbd3743790814a7d5fac002aeebaf5e6be6b8,2c6e5440c749aed4b1a5fd8e71ebbd3743790814a7d5fac002aeebaf5e6be6b8,1f19c4056b03b5d565deea3f53c543c8fbdc8b5c14665b5f206bbb5db8b2fae1,1f19c4056b03b5d565deea3f53c543c8fbdc8b5c14665b5f206bbb5db8b2fae1,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.89217787547498e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_03__seed_03__v2_R2.csv.gz,c7bbcf781d0aaa07de21a212e1ab9bf3e2b78dd9ef40075c0aa5f0349cbe7fcd
BY2__EXT05C__LIT__D06_seed_03__seed_03__v3,FULL,c7b5862461de01af63d071b11097de6c029d63eecd67121386e3831d23d66210,c7b5862461de01af63d071b11097de6c029d63eecd67121386e3831d23d66210,6b74b99c354649230d4d15f336a3c6a435bd7eb8e6baa03ba610e8359a541894,6b74b99c354649230d4d15f336a3c6a435bd7eb8e6baa03ba610e8359a541894,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.943783111453509e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_03__seed_03__v3_R2.csv.gz,9264d6998fcac4e66925303c564370a9386615a259879b3bac66d9720a9cf83b
BY2__EXT05C__LIT__D06_seed_03__seed_03__v2,FULL,6d775ae1e96b446c42abcacaa9dee148c525519d0bd4e766f870492e37e4a638,6d775ae1e96b446c42abcacaa9dee148c525519d0bd4e766f870492e37e4a638,afc1f319b29fee1ec9ce71a1af2ec60a395ac468e9bbaa469554211dee44a301,afc1f319b29fee1ec9ce71a1af2ec60a395ac468e9bbaa469554211dee44a301,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.893603953645793e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_03__seed_03__v2_R2.csv.gz,baebde1b942681d85acba5de1c580c2590d7af9a25828d3fc09de0cec1670625
BY2__LC01__LIT__D06_seed_04__seed_04__v3,FULL,bc8260996bf2965bdc256ee7243d409c59e25c7270ace427aada9c63644ea68c,bc8260996bf2965bdc256ee7243d409c59e25c7270ace427aada9c63644ea68c,c95d6f0958f3db55f028cf55f489e673f788abcce5d56e8eb798f99598f1bfe6,c95d6f0958f3db55f028cf55f489e673f788abcce5d56e8eb798f99598f1bfe6,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.9766645773512285e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_04__seed_04__v3_R2.csv.gz,1aed84775d30d809808515062000eece1cc15c8c09024160929304abe0a5d16a
BY2__LC01__LIT__D06_seed_04__seed_04__v2,FULL,c5ff6ad3436213f27e4fa50ed78a727516ad7ee32bc4740e0e66ed81da89c413,c5ff6ad3436213f27e4fa50ed78a727516ad7ee32bc4740e0e66ed81da89c413,a75ccc10627c6c81fd88dc619757e3681964500bef7665328042f1708387ce46,a75ccc10627c6c81fd88dc619757e3681964500bef7665328042f1708387ce46,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.89217787547498e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_04__seed_04__v2_R2.csv.gz,5094ce83d4c376dae9d025e0135c4fa3ecdc07212931e5b754890919abab1532
BY2__EXT05C__LIT__D06_seed_04__seed_04__v3,FULL,b2a7c83c41b090e79c778b7af135a439a9a20c898e307e6edba7e9ec0ec6d70e,b2a7c83c41b090e79c778b7af135a439a9a20c898e307e6edba7e9ec0ec6d70e,67bda4c3844274f7f1cd90acbf1aaf5b10c07161a95664c34e81a653af31ce78,67bda4c3844274f7f1cd90acbf1aaf5b10c07161a95664c34e81a653af31ce78,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.920257679759844e-14,4.263256414560601e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_04__seed_04__v3_R2.csv.gz,f4b8979e4587983d5258596c95fc9f57e72a07ac92ec6d37c207d9a3f4a6ca4f
BY2__EXT05C__LIT__D06_seed_04__seed_04__v2,FULL,16b0fda9410afd45bf07a86204980508583a8d9add593b9532adc723709fbdda,16b0fda9410afd45bf07a86204980508583a8d9add593b9532adc723709fbdda,f4335b49b8b51000649b6a49705894aa28533bb1212eb46005a316ad3ebafc9a,f4335b49b8b51000649b6a49705894aa28533bb1212eb46005a316ad3ebafc9a,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.939280812163708e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_04__seed_04__v2_R2.csv.gz,f407811c5fa416c295a285f57df13df78c234b66341aaefaa1da28f80f05dbdc
BY2__LC01__LIT__D06_seed_05__seed_05__v3,FULL,93fe32f39a249c8e465f539ac5895ef2ef9850d67342f21921d25393cfe26d92,93fe32f39a249c8e465f539ac5895ef2ef9850d67342f21921d25393cfe26d92,1701d954e22b056817558e109f671a9cf1f023f18bf90113b98c5250b3895ad4,1701d954e22b056817558e109f671a9cf1f023f18bf90113b98c5250b3895ad4,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.852900207884354e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_05__seed_05__v3_R2.csv.gz,e364e9c95841b7f6010b9ae401a0b4e46909d4125b09dbd38cfb92a61509d900
BY2__LC01__LIT__D06_seed_05__seed_05__v2,FULL,cc5efd63dbff8a8e71e3434f19b5b96c4a2c18f1b25620287d19d2b674b73098,cc5efd63dbff8a8e71e3434f19b5b96c4a2c18f1b25620287d19d2b674b73098,39b74ad8617a4c131d661d4c33cc0a8e29d7e90058ddcfa32df6497414a75619,39b74ad8617a4c131d661d4c33cc0a8e29d7e90058ddcfa32df6497414a75619,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.89217787547498e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__LC01__LIT__D06_seed_05__seed_05__v2_R2.csv.gz,00d37aef797ddf6e80086177ac51232b6c0b3181d04e197d882da699cac15be2
BY2__EXT05C__LIT__D06_seed_05__seed_05__v3,FULL,ffc7ea66efde3c73ac389b0ee0eeeb341c9a916281297032485e3614c95ea4fc,ffc7ea66efde3c73ac389b0ee0eeeb341c9a916281297032485e3614c95ea4fc,345be214017c4eec828549a2ac2702bb467be4f047b7e05b99e1bce342d53976,345be214017c4eec828549a2ac2702bb467be4f047b7e05b99e1bce342d53976,True,0,True,1,ee3ee42dea3ada196dfdbcc78fd07524f91b4ce4fb94d9d6482a3e7d4b34aa4c,FAIL,PASS,2.943783111453509e-14,2.842170943040401e-14,4.092726157978177e-12,AUDIT_RESIDUALS/BY2__EXT05C__LIT__D06_seed_05__seed_05__v3_R2.csv.gz,d03db7a0b4f4c80c8418146e6e9a05f007731dbd36492f89be127785f731f310
