level,group,method,method_label,metric,reference_method,registered_n,paired_n,difference_median,difference_p95,difference_definition,source,audit_status_R1,audit_status_R2,observer_discrepancy_R2
type,D21,EXT05C,EXT05C,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D21,EXT05C,EXT05C,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""FAIL"":5,""NOT_EVALUATED"":4}","{""NOT_EVALUATED"":4,""PASS"":5}","{""horizontal_max_m"":1.0658141036401503e-14,""up_max_m"":1.4210854715202004e-14,""yaw_max_deg"":2.842170943040401e-14}"
type,D16,LC01,LC01,yaw_rmse_deg,F04,9,9,1.1085553214690316,1.1085568495379912,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,yaw_rmse_deg,F02,9,9,0.7628750993073927,0.7628765807460132,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,yaw_rmse_deg,F03,9,9,1.0792361269860444,1.079237674385544,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,yaw_rmse_deg,A04,9,9,1.1088263279584847,1.108827862064397,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,horizontal_rmse_m,F04,9,9,-0.00426268371427585,0.008225189359479445,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,horizontal_rmse_m,F02,9,9,-0.011687830090320261,0.017553281413697254,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,horizontal_rmse_m,F03,9,9,-0.00731268059482626,0.012045302569625304,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
type,D16,LC01,LC01,horizontal_rmse_m,A04,9,9,-0.0032500387659377683,0.006857637979976694,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv,"{""PASS"":9}","{""PASS"":9}","{""horizontal_max_m"":3.071126535662235e-14,""up_max_m"":1.432187701766452e-14,""yaw_max_deg"":4.092726157978177e-12}"
