case_id,method,family,type,seed,execution,run_id
D16_seed_04,LC01,位置偏差,D16,seed_04,NATIVE,BY2__LC01__LIT__D16_seed_04__seed_04
D16_seed_04,EXT05C,位置偏差,D16,seed_04,NATIVE,BY2__EXT05C__LIT__D16_seed_04__seed_04
D16_seed_05,LC01,位置偏差,D16,seed_05,NATIVE,BY2__LC01__LIT__D16_seed_05__seed_05
D16_seed_05,EXT05C,位置偏差,D16,seed_05,NATIVE,BY2__EXT05C__LIT__D16_seed_05__seed_05
D16_seed_06,LC01,位置偏差,D16,seed_06,NATIVE,BY2__LC01__LIT__D16_seed_06__seed_06
D16_seed_06,EXT05C,位置偏差,D16,seed_06,NATIVE,BY2__EXT05C__LIT__D16_seed_06__seed_06
D16_seed_07,LC01,位置偏差,D16,seed_07,NATIVE,BY2__LC01__LIT__D16_seed_07__seed_07
D16_seed_07,EXT05C,位置偏差,D16,seed_07,NATIVE,BY2__EXT05C__LIT__D16_seed_07__seed_07
D16_seed_08,LC01,位置偏差,D16,seed_08,NATIVE,BY2__LC01__LIT__D16_seed_08__seed_08
D16_seed_08,EXT05C,位置偏差,D16,seed_08,NATIVE,BY2__EXT05C__LIT__D16_seed_08__seed_08
D18_seed_00,LC01,位置偏差,D18,seed_00,NATIVE,BY2__LC01__LIT__D18_seed_00__seed_00
D18_seed_00,EXT05C,位置偏差,D18,seed_00,NATIVE,BY2__EXT05C__LIT__D18_seed_00__seed_00
D18_seed_01,LC01,位置偏差,D18,seed_01,NATIVE,BY2__LC01__LIT__D18_seed_01__seed_01
D18_seed_01,EXT05C,位置偏差,D18,seed_01,NATIVE,BY2__EXT05C__LIT__D18_seed_01__seed_01
D18_seed_02,LC01,位置偏差,D18,seed_02,NATIVE,BY2__LC01__LIT__D18_seed_02__seed_02
D18_seed_02,EXT05C,位置偏差,D18,seed_02,NATIVE,BY2__EXT05C__LIT__D18_seed_02__seed_02
D18_seed_03,LC01,位置偏差,D18,seed_03,NATIVE,BY2__LC01__LIT__D18_seed_03__seed_03
D18_seed_03,EXT05C,位置偏差,D18,seed_03,NATIVE,BY2__EXT05C__LIT__D18_seed_03__seed_03
D18_seed_04,LC01,位置偏差,D18,seed_04,NATIVE,BY2__LC01__LIT__D18_seed_04__seed_04
D18_seed_04,EXT05C,位置偏差,D18,seed_04,NATIVE,BY2__EXT05C__LIT__D18_seed_04__seed_04
D18_seed_05,LC01,位置偏差,D18,seed_05,NATIVE,BY2__LC01__LIT__D18_seed_05__seed_05
D18_seed_05,EXT05C,位置偏差,D18,seed_05,NATIVE,BY2__EXT05C__LIT__D18_seed_05__seed_05
D18_seed_06,LC01,位置偏差,D18,seed_06,NATIVE,BY2__LC01__LIT__D18_seed_06__seed_06
D18_seed_06,EXT05C,位置偏差,D18,seed_06,NATIVE,BY2__EXT05C__LIT__D18_seed_06__seed_06
D18_seed_07,LC01,位置偏差,D18,seed_07,NATIVE,BY2__LC01__LIT__D18_seed_07__seed_07
D18_seed_07,EXT05C,位置偏差,D18,seed_07,NATIVE,BY2__EXT05C__LIT__D18_seed_07__seed_07
D18_seed_08,LC01,位置偏差,D18,seed_08,NATIVE,BY2__LC01__LIT__D18_seed_08__seed_08
D18_seed_08,EXT05C,位置偏差,D18,seed_08,NATIVE,BY2__EXT05C__LIT__D18_seed_08__seed_08
D03_seed_00,LC01,位置中断,D03,seed_00,NATIVE,BY2__LC01__LIT__D03_seed_00__seed_00
D03_seed_00,EXT05C,位置中断,D03,seed_00,NATIVE,BY2__EXT05C__LIT__D03_seed_00__seed_00
D03_seed_01,LC01,位置中断,D03,seed_01,NATIVE,BY2__LC01__LIT__D03_seed_01__seed_01
D03_seed_01,EXT05C,位置中断,D03,seed_01,NATIVE,BY2__EXT05C__LIT__D03_seed_01__seed_01
D03_seed_02,LC01,位置中断,D03,seed_02,NATIVE,BY2__LC01__LIT__D03_seed_02__seed_02
D03_seed_02,EXT05C,位置中断,D03,seed_02,NATIVE,BY2__EXT05C__LIT__D03_seed_02__seed_02
D03_seed_03,LC01,位置中断,D03,seed_03,NATIVE,BY2__LC01__LIT__D03_seed_03__seed_03
D03_seed_03,EXT05C,位置中断,D03,seed_03,NATIVE,BY2__EXT05C__LIT__D03_seed_03__seed_03
D03_seed_04,LC01,位置中断,D03,seed_04,NATIVE,BY2__LC01__LIT__D03_seed_04__seed_04
D03_seed_04,EXT05C,位置中断,D03,seed_04,NATIVE,BY2__EXT05C__LIT__D03_seed_04__seed_04
D03_seed_05,LC01,位置中断,D03,seed_05,NATIVE,BY2__LC01__LIT__D03_seed_05__seed_05
D03_seed_05,EXT05C,位置中断,D03,seed_05,NATIVE,BY2__EXT05C__LIT__D03_seed_05__seed_05
D03_seed_06,LC01,位置中断,D03,seed_06,NATIVE,BY2__LC01__LIT__D03_seed_06__seed_06
D03_seed_06,EXT05C,位置中断,D03,seed_06,NATIVE,BY2__EXT05C__LIT__D03_seed_06__seed_06
D03_seed_07,LC01,位置中断,D03,seed_07,NATIVE,BY2__LC01__LIT__D03_seed_07__seed_07
D03_seed_07,EXT05C,位置中断,D03,seed_07,NATIVE,BY2__EXT05C__LIT__D03_seed_07__seed_07
D03_seed_08,LC01,位置中断,D03,seed_08,NATIVE,BY2__LC01__LIT__D03_seed_08__seed_08
D03_seed_08,EXT05C,位置中断,D03,seed_08,NATIVE,BY2__EXT05C__LIT__D03_seed_08__seed_08
D04_seed_00,LC01,位置中断,D04,seed_00,NATIVE,BY2__LC01__LIT__D04_seed_00__seed_00
D04_seed_00,EXT05C,位置中断,D04,seed_00,NATIVE,BY2__EXT05C__LIT__D04_seed_00__seed_00
D04_seed_01,LC01,位置中断,D04,seed_01,NATIVE,BY2__LC01__LIT__D04_seed_01__seed_01
D04_seed_01,EXT05C,位置中断,D04,seed_01,NATIVE,BY2__EXT05C__LIT__D04_seed_01__seed_01
D04_seed_02,LC01,位置中断,D04,seed_02,NATIVE,BY2__LC01__LIT__D04_seed_02__seed_02
D04_seed_02,EXT05C,位置中断,D04,seed_02,NATIVE,BY2__EXT05C__LIT__D04_seed_02__seed_02
D04_seed_03,LC01,位置中断,D04,seed_03,NATIVE,BY2__LC01__LIT__D04_seed_03__seed_03
D04_seed_03,EXT05C,位置中断,D04,seed_03,NATIVE,BY2__EXT05C__LIT__D04_seed_03__seed_03
D04_seed_04,LC01,位置中断,D04,seed_04,NATIVE,BY2__LC01__LIT__D04_seed_04__seed_04
D04_seed_04,EXT05C,位置中断,D04,seed_04,NATIVE,BY2__EXT05C__LIT__D04_seed_04__seed_04
D04_seed_05,LC01,位置中断,D04,seed_05,NATIVE,BY2__LC01__LIT__D04_seed_05__seed_05
D04_seed_05,EXT05C,位置中断,D04,seed_05,NATIVE,BY2__EXT05C__LIT__D04_seed_05__seed_05
D04_seed_06,LC01,位置中断,D04,seed_06,NATIVE,BY2__LC01__LIT__D04_seed_06__seed_06
D04_seed_06,EXT05C,位置中断,D04,seed_06,NATIVE,BY2__EXT05C__LIT__D04_seed_06__seed_06
D04_seed_07,LC01,位置中断,D04,seed_07,NATIVE,BY2__LC01__LIT__D04_seed_07__seed_07
D04_seed_07,EXT05C,位置中断,D04,seed_07,NATIVE,BY2__EXT05C__LIT__D04_seed_07__seed_07
D04_seed_08,LC01,位置中断,D04,seed_08,NATIVE,BY2__LC01__LIT__D04_seed_08__seed_08
D04_seed_08,EXT05C,位置中断,D04,seed_08,NATIVE,BY2__EXT05C__LIT__D04_seed_08__seed_08
D43_seed_00,LC01,速度噪声,D43,seed_00,NATIVE,BY2__LC01__LIT__D43_seed_00__seed_00
D43_seed_00,EXT05C,速度噪声,D43,seed_00,NATIVE,BY2__EXT05C__LIT__D43_seed_00__seed_00
D43_seed_01,LC01,速度噪声,D43,seed_01,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_01__seed_01
D43_seed_01,EXT05C,速度噪声,D43,seed_01,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_01__seed_01
D43_seed_02,LC01,速度噪声,D43,seed_02,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_02__seed_02
D43_seed_02,EXT05C,速度噪声,D43,seed_02,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_02__seed_02
D43_seed_03,LC01,速度噪声,D43,seed_03,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_03__seed_03
D43_seed_03,EXT05C,速度噪声,D43,seed_03,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_03__seed_03
D43_seed_04,LC01,速度噪声,D43,seed_04,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_04__seed_04
D43_seed_04,EXT05C,速度噪声,D43,seed_04,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_04__seed_04
D43_seed_05,LC01,速度噪声,D43,seed_05,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_05__seed_05
D43_seed_05,EXT05C,速度噪声,D43,seed_05,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_05__seed_05
D43_seed_06,LC01,速度噪声,D43,seed_06,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_06__seed_06
D43_seed_06,EXT05C,速度噪声,D43,seed_06,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_06__seed_06
D43_seed_07,LC01,速度噪声,D43,seed_07,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_07__seed_07
D43_seed_07,EXT05C,速度噪声,D43,seed_07,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_07__seed_07
D43_seed_08,LC01,速度噪声,D43,seed_08,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D43_seed_08__seed_08
D43_seed_08,EXT05C,速度噪声,D43,seed_08,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__EXT05C__LIT__D43_seed_08__seed_08
D42_seed_00,LC01,速度中断,D42,seed_00,NATIVE,BY2__LC01__LIT__D42_seed_00__seed_00
D42_seed_00,EXT05C,速度中断,D42,seed_00,NATIVE,BY2__EXT05C__LIT__D42_seed_00__seed_00
D42_seed_01,LC01,速度中断,D42,seed_01,REUSE_C00_AFTER_TYPE_HASH_GATE,BY2__LC01__LIT__D42_seed_01__seed_01
