figure_png,figure_pdf,png_exists,pdf_exists,width_px,height_px,gray_std,nonblank,required_title_note_present,tracked_stage_allowed
PAPER10C_R1B_BY2_BY3_CROSS_DATASET_H_RMSE.png,PAPER10C_R1B_BY2_BY3_CROSS_DATASET_H_RMSE.pdf,True,True,1800,1044,62.74013319355075,True,True,False
PAPER10C_R1B_BY3_GO2_METHOD_SUMMARY.png,PAPER10C_R1B_BY3_GO2_METHOD_SUMMARY.pdf,True,True,1800,1044,55.59164603058309,True,True,False
PAPER10C_R1B_BY3_MOTION_STATE_TRACE_COUNTS.png,PAPER10C_R1B_BY3_MOTION_STATE_TRACE_COUNTS.pdf,True,True,1620,972,57.961392557961865,True,True,False
