dataset,go2_mode,completed_rows,yaw_metric_status,position_rmse_h_mean,position_rmse_h_median,position_rmse_3d_mean,position_rmse_3d_median,up_rmse_mean,up_rmse_median,roll_rmse_mean,roll_rmse_median,pitch_rmse_mean,pitch_rmse_median,yaw_rmse_diagnostic_mean,yaw_rmse_diagnostic_median,epoch_count_mean,epoch_count_median
BY3,G00_NO_GO2,120,diagnostic_only,2.461410518461481,1.2334296910931304,12.419805439088373,10.553718740564523,12.000693291399536,10.501052967004075,2.4101951118920812,1.9144951982118736,2.7403815411198074,1.9489544801597125,73.86751873105645,73.73615647915815,61808.083333333336,61817.0
BY3,G01_GO2_RP_ONLY,120,diagnostic_only,2.462975539176875,1.2482499953202222,12.412282771787735,10.568010873728596,12.004460896303238,10.499638782107262,2.1558402310505054,1.6239882842695366,2.4417159206056005,1.7904506073272901,102.46204251854961,119.96170210182957,61808.083333333336,61817.0
BY3,G02_GO2_HVEL_ONLY,120,diagnostic_only,2.492567796476299,1.231108159798116,12.432278080462908,10.553719062018475,12.003611425251213,10.501051549646844,2.4887130543504057,1.9032743305953534,2.794812936995823,2.019590896063516,74.96831844233557,74.9212416308861,61808.083333333336,61817.0
BY3,G03_GO2_READINESS_ONLY,120,diagnostic_only,2.532972941756825,1.2829903524636967,12.455718404562337,10.563139886408036,12.013459547225981,10.508668652310195,2.420135732713723,1.9077773363348272,2.7432767367691624,1.9411665401612805,75.80963700183614,75.94147196671327,61808.083333333336,61817.0
BY3,G04_GO2_RP_HVEL,120,diagnostic_only,2.470374142545885,1.2536996837984336,12.410899241427078,10.56731024483245,12.000212570581974,10.499632080049366,2.1579052728759907,1.4946536070721144,2.47521821568776,1.802811183364988,100.63802561706903,120.09011552439891,61808.083333333336,61817.0
BY3,G05_GO2_FULL_AUX,120,diagnostic_only,2.5408895192523144,1.2925683289729561,12.44716226012448,10.577837759641998,12.012802795928925,10.507400092819442,2.170336246008747,1.4993652228077177,2.481125596834001,1.8492610060603285,100.75239833787685,120.71817475985478,61808.083333333336,61817.0
