dataset,family,go2_mode,completed_rows,yaw_metric_status,position_rmse_h_mean,position_rmse_3d_mean,up_rmse_mean,roll_rmse_mean,pitch_rmse_mean,yaw_rmse_diagnostic_mean,epoch_count_mean
BY3,position_spike,G05_GO2_FULL_AUX,30,diagnostic_only,1.4375685610368427,10.697351470631626,10.585035300978458,1.6594135957334266,2.0793743267222924,100.21287718203622,61817.0
BY3,position_std,G00_NO_GO2,3,diagnostic_only,2.9051006026999673,17.181397520519067,16.922704248842695,2.112630215668009,2.2482829460807063,69.58509643169386,61817.0
BY3,position_std,G01_GO2_RP_ONLY,3,diagnostic_only,2.882509839837205,17.17303896194258,16.917880762521307,2.113858877079038,2.250196196014265,93.32014794406989,61817.0
BY3,position_std,G02_GO2_HVEL_ONLY,3,diagnostic_only,2.9027130123524785,17.18096125281505,16.92270412321338,2.1131751163869748,2.2436547807428573,69.8251522836332,61817.0
BY3,position_std,G03_GO2_READINESS_ONLY,3,diagnostic_only,3.115670973440924,17.370077682155507,17.074553074768634,2.139848885717999,2.2637474164297338,70.63404319228393,61817.0
BY3,position_std,G04_GO2_RP_HVEL,3,diagnostic_only,2.881161585215212,17.17271595868661,16.9178402009084,2.115332826713757,2.2457885896795475,93.55900081024144,61817.0
BY3,position_std,G05_GO2_FULL_AUX,3,diagnostic_only,3.1020901891668102,17.363462918436287,17.070223698722565,2.1411761402958622,2.260480247330737,93.82629776385807,61817.0
BY3,yaw_noise,G00_NO_GO2,30,diagnostic_only,0.7653888987046282,10.528456304663335,10.50059790352237,1.9078977748124157,1.8415020673426616,72.00394376011823,61817.0
BY3,yaw_noise,G01_GO2_RP_ONLY,30,diagnostic_only,0.8288474928807711,10.531858871494215,10.49919345105217,1.3719351823077468,1.6398000523107465,119.96170210182953,61817.0
BY3,yaw_noise,G02_GO2_HVEL_ONLY,30,diagnostic_only,0.7656932809370259,10.528477314212799,10.500596605833909,1.892335956021965,1.829682794367649,72.25049161185424,61817.0
BY3,yaw_noise,G03_GO2_READINESS_ONLY,30,diagnostic_only,0.816349949923146,10.540248898640318,10.508587594623087,1.9066430279240087,1.8268499083591236,74.67045587359354,61817.0
BY3,yaw_noise,G04_GO2_RP_HVEL,30,diagnostic_only,0.8294792622790756,10.531901935449591,10.49918675571474,1.372179036004419,1.6411459815690166,120.09011552439887,61817.0
BY3,yaw_noise,G05_GO2_FULL_AUX,30,diagnostic_only,0.882074519520896,10.544271910391663,10.507312437644874,1.381847558947958,1.645931005895269,120.71817475985476,61817.0
BY3,yaw_std,G00_NO_GO2,3,diagnostic_only,0.7640731189668842,10.528374485622141,10.500612438251949,1.8984685289878487,1.8116987847179746,74.61227799127042,61817.0
BY3,yaw_std,G01_GO2_RP_ONLY,3,diagnostic_only,0.8288474928807709,10.53185887149422,10.499193451052168,1.3719351823077472,1.6398000523107463,119.96170210182957,61817.0
BY3,yaw_std,G02_GO2_HVEL_ONLY,3,diagnostic_only,0.7641607754100045,10.528379177358605,10.500610763739557,1.8827684034490373,1.8006722383546563,74.93299935939238,61817.0
BY3,yaw_std,G03_GO2_READINESS_ONLY,3,diagnostic_only,0.8156796989673988,10.540209641113872,10.5086005684545,1.8973374181564067,1.8046050767326676,76.65694059624143,61817.0
BY3,yaw_std,G04_GO2_RP_HVEL,3,diagnostic_only,0.8294792622790755,10.531901935449595,10.499186755714744,1.3721790360044193,1.6411459815690161,120.09011552439891,61817.0
BY3,yaw_std,G05_GO2_FULL_AUX,3,diagnostic_only,0.8820745195208962,10.544271910391661,10.50731243764487,1.3818475589479575,1.6459310058952685,120.71817475985478,61817.0
