slot_id,version,role,axis,maximum,time_s,index_zero_based,matched_epoch_count,east_difference_m,evaluator_horizontal_error_m,evaluator_up_error_m,evaluator_yaw_error_deg,horizontal_magnitude_difference_m,horizontal_vector_discrepancy_m,north_difference_m,observer_horizontal_error_m,observer_up_error_m,observer_yaw_error_deg,up_difference_m,yaw_difference_deg
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,horizontal,2.852900207884354e-14,175.13105988502502,23946,58014,-2.8514517136368767e-14,0.0424661448733734,0.0141752541493334,-0.4595995938993837,-3.497202527569243e-15,2.852900207884354e-14,-9.08995101411847e-16,0.0424661448733699,0.014175254149331771,-0.45959959389938376,-1.6289053439422219e-15,0.0
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,up,2.842170943040401e-14,236.85704874992368,35462,58014,1.7763568394002505e-15,14.251027760421175,-69.07252300944387,0.5104885797782686,-3.552713678800501e-15,3.972054645195637e-15,3.552713678800501e-15,14.251027760421172,-69.07252300944384,0.5104885797782686,2.842170943040401e-14,0.0
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,5.2735593669694936e-15,0.0536936731870964,-0.0564516784051463,-6.355388328611866,1.9567680809018384e-15,5.292224827353515e-15,-4.440892098500626e-16,0.053693673187098355,-0.056451678405141766,-6.3553883286077735,4.53109771925142e-15,4.092726157978177e-12
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,horizontal,2.89217787547498e-14,212.26440000534052,31097,58014,2.861242059254421e-14,0.1590089710283832,-0.3793683621199015,-1.2823594408312715,-4.3298697960381105e-15,2.89217787547498e-14,4.218847493575595e-15,0.15900897102837888,-0.3793683621199033,-1.28235944083184,-1.8318679906315083e-15,-5.684341886080801e-13
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,up,2.842170943040401e-14,236.1950643062592,35332,58014,-1.4210854715202004e-14,12.37042815735704,-64.57552690660688,-1.6311270033051244,1.2434497875801753e-14,1.4210854715202004e-14,0.0,12.370428157357052,-64.57552690660685,-1.6311270033051244,2.842170943040401e-14,0.0
BY2__LC01__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,1.0200174038743626e-15,0.219607639495292,-0.3421890106365595,-6.355388328611866,-1.942890293094024e-16,1.0260416443062498e-15,-1.1102230246251565e-16,0.2196076394952918,-0.3421890106365634,-6.3553883286077735,-3.885780586188048e-15,4.092726157978177e-12
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,horizontal,2.943783111453509e-14,192.08704900741577,27260,58014,2.943478794037446e-14,0.0467288488479788,-0.0769550790582851,-14.70624190313427,-1.2052858711086856e-14,2.943783111453509e-14,-4.2327252813834093e-16,0.04672884884796675,-0.07695507905828167,-14.70624190313427,3.427813588530171e-15,0.0
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,up,2.842170943040401e-14,236.17505025863647,35328,58014,8.881784197001252e-16,15.462291189444,-64.48746708940158,-14.39894366598179,1.7763568394002505e-15,3.66205343881779e-15,-3.552713678800501e-15,15.462291189444002,-64.48746708940155,-14.39894366598179,2.842170943040401e-14,0.0
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,2.456368441983159e-15,0.0713178930179387,-0.0629697176871886,-26.90340359468709,-1.124100812432971e-15,3.864758348293043e-15,-2.9837243786801082e-15,0.07131789301793758,-0.06296971768719245,-26.903403594683,-3.8441472227646045e-15,4.092726157978177e-12
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,horizontal,2.893603953645793e-14,172.16705560684204,23378,58014,2.893518757929314e-14,0.1097705658979466,-0.2995456271422108,-14.824797880057304,-2.886579864025407e-14,2.893603953645793e-14,2.220446049250313e-16,0.10977056589791774,-0.29954562714220384,-14.824797880057304,6.938893903907228e-15,0.0
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,up,2.842170943040401e-14,236.5410554409027,35398,58014,-5.329070518200751e-15,16.547456703291537,-67.44713078528292,-12.929908917841884,-3.552713678800501e-15,8.881784197001252e-15,7.105427357601002e-15,16.547456703291534,-67.4471307852829,-12.929908917841885,2.842170943040401e-14,0.0
BY2__EXT05C__LIT__D62_20s_seed_03__seed_03__v2,v2,FULL,yaw,4.092726157978177e-12,250.429170370102,38269,58014,7.66053886991358e-15,0.2193402249616843,-0.3486492250229993,-26.90340359468709,-3.469446951953614e-15,7.687091943881585e-15,6.38378239159465e-16,0.21934022496168082,-0.3486492250229989,-26.903403594683,3.885780586188048e-16,4.092726157978177e-12
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,horizontal,2.852900207884354e-14,175.13105988502502,23946,58014,-2.8514517136368767e-14,0.0424661448733734,0.0141752541493334,-0.4595995938993837,-3.497202527569243e-15,2.852900207884354e-14,-9.08995101411847e-16,0.0424661448733699,0.014175254149331771,-0.45959959389938376,-1.6289053439422219e-15,0.0
BY2__LC01-BR__LIT__D62_20s_seed_03__seed_03__v3,v3,FULL,up,2.842170943040401e-14,236.6610400676728,35423,58014,0.0,40.26987177265575,-68.87069247821674,-1.349820867671724,7.105427357601002e-15,1.0658141036401503e-14,-1.0658141036401503e-14,40.269871772655755,-68.87069247821671,-1.3498208676712125,2.842170943040401e-14,5.115907697472721e-13
