elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
0,0.0,0.0,0.0,0.0,0.0,12
1,1.1026858233200272,0.024935807143707404,-0.0650015214033377,0.45672278006302364,1.5193428891236194,11
2,1.4540120049985614,0.029925884165226044,-0.09510180963870285,0.7934658230115499,2.18230190253662,13
3,2.926120083911181,-0.03235664910651779,-0.12141422281888836,0.7408180662223851,3.513167278208018,11
4,2.837366156057705,-0.04232054983072877,-0.14569616732991686,1.1389381369760436,3.7882875758731314,12
5,9.178544539452202,-0.05633705104085535,-0.14577830678127057,1.514799492212732,10.49122867384258,12
6,26.178036259205776,0.011402604464514082,-0.1470390353106079,1.1985477294144293,27.240947557774113,12
7,31.789588277868408,-0.020572935718096257,-0.16973607562376203,0.9046995342070253,32.503978800733265,10
8,53.68699999538712,0.056745860106613664,-0.1883309584434043,1.0314652666044593,54.58688016365466,13
9,56.96737972021249,-0.022989318157446887,-0.2145030905893217,0.6825350639293206,57.41242237539497,15
10,61.637689402794834,-0.06810004505499687,-0.2575510895863402,0.5819967993836916,61.8940350675373,17
11,80.28015272396003,0.25409989218998175,-0.3017648847960086,0.24076299861115666,80.47325072996537,11
12,90.23309312244949,0.25036189116381846,-0.3652762595792327,-0.06369281330925791,90.05448594072448,13
13,95.09835006182267,0.23327036757001923,-0.43515031975164886,-0.07571986877107399,94.82075024086963,12
14,95.4794622815533,0.22865765317707434,-0.49991147333890473,-0.027744482689678662,95.18046397870084,13
15,94.89657306319496,0.21162333201302053,-0.5752240613844417,-0.4641848234736398,94.06878751034854,13
16,102.61251853278821,0.23398687402892232,-0.6663294794299062,-0.7127043723353544,101.46747155505061,15
17,102.04360963655888,0.24127239404137077,-0.7627862145605757,-0.9604658111324937,100.56163000490582,13
18,98.96505095881385,0.23600805063579114,-0.8683310850556731,-1.1142310324645348,97.21849689192827,13
19,98.46340647566839,0.22756401969724097,-0.9748339318144952,-1.1356954897212506,96.58044107382877,14
20,95.65159777266294,0.25730146839788914,-1.0827370937973821,-0.9704380388807481,93.85572410838131,13
21,94.26617036139893,0.2579748513681713,-1.187427278411067,-0.8638035260689995,92.47291440828575,13
22,93.8026222476771,0.24019142197665735,-1.288189503786481,-0.7901894935714139,91.96443467229432,11
23,93.53449861086241,0.22944773113728797,-1.3928072279589796,-1.021846067555823,91.34929304648368,10
24,93.18928398997669,0.2525081697924332,-1.5070084161273822,-1.4371317989889068,90.49765194465115,14
25,93.41425968991656,0.22546493124647007,-1.6245147533185258,-1.4528389789065317,90.56237088893619,11
26,93.65914909195465,0.22287590363789062,-1.7407447099666165,-1.4120323815140086,90.72924790410977,10
27,93.66495174916062,0.21912327986476152,-1.8531949983840517,-1.1719572076369869,90.85892282300182,13
28,93.73567552524335,0.21629188045892017,-1.960752365893406,-1.166113343143603,90.82510169666249,11
29,93.24882383295001,0.22475741542037395,-2.0654854061440497,-0.9552356947104618,90.45286014751306,12
30,92.75588618657463,0.21441055076125634,-2.17001238906133,-1.2107016949847,89.58958265328744,11
31,90.94782007408108,0.2077360420038207,-2.279416713756593,-1.2623561389957043,87.61378326332978,15
32,89.5767332429377,0.21577257357872154,-2.3894035864059955,-1.0894490785795738,86.31365315152807,13
33,89.81515273372281,0.20014102427851152,-2.4961944759073607,-1.2418399606228263,86.27725932146895,12
34,88.43670216781774,0.20541612648910046,-2.6089908492685767,-1.1657102154244277,84.86741722961163,12
35,87.90382526571034,0.19584339095460984,-2.718079400761124,-0.7756196338463598,84.60596962205554,11
36,88.46512073580975,0.1880996042414603,-2.819118612489956,-0.7270309355770749,85.107070791982,14
37,94.93553017715396,0.17884919377180356,-2.920566163405547,-1.0084898541536444,91.18532335336388,12
38,104.77925204448256,0.16740120461993682,-3.0299373274406145,-1.3798723675348432,100.53684355412506,11
39,98.60232060128634,0.18914668258986841,-3.1523125261671208,-1.720765105444268,93.91838965226286,15
40,99.66482175386054,0.18439913274204522,-3.274191551661355,-1.5734903227207981,95.0015390122187,10
41,99.76259781705065,0.20320034612722176,-3.3965666534759364,-1.7675151800221551,94.80171632967819,9
42,99.72270428212433,0.17665229882908795,-3.519189455486776,-1.7703860934702622,94.60978103199523,13
43,101.33523709798986,0.18387516163421258,-3.6357722662087344,-1.7814461660219751,96.10189382739249,10
44,102.29387688412288,0.19055982608784458,-3.763082107185502,-2.206061031913621,96.515293571111,11
45,101.73080338313352,0.1845551065321534,-3.898254733842313,-2.2781557735399347,95.73894798228288,14
46,100.95337834166182,0.17737110526211536,-4.0377523971814036,-2.373084877083371,94.719912172659,12
47,101.01931233075578,0.14883983553206825,-4.1668378689785275,-1.7682070487259796,95.2331072485828,12
48,100.84798857250338,0.1509241590389215,-4.287114210925691,-1.6988493183883877,95.01294920222753,9
49,99.78453050443417,0.17005683574181557,-4.411765684179233,-1.3888604458299312,94.15396121016614,11
50,99.83929179208693,0.1617578411533251,-4.531782090095973,-1.0509513853471615,94.41831615779657,14
51,98.85637454398947,0.16054582295184208,-4.656721786461503,-1.7160437620950844,92.6441548183844,11
52,98.04480315976913,0.18227274775309796,-4.7833120661411055,-1.7854032482485902,91.65836059313199,14
53,97.64037674162466,0.18151345030629285,-4.912189574450563,-2.3119300738518045,90.59777054362813,12
54,97.22581993889541,0.19889874487198864,-5.058283940621833,-2.9010172442350846,89.46541749891009,10
55,98.38054878692178,0.21173717323097643,-5.207998646484922,-2.938810325273525,90.44547698839402,13
56,98.61679133884687,0.23879139985624537,-5.357040422281027,-2.8487357071228208,90.64980660929889,11
57,98.99250586989855,0.2244872876978565,-5.50359790487676,-2.8878807764616785,90.82551447625775,11
58,98.57576489520885,0.21545153394821068,-5.649285818838869,-2.8402329051321233,90.30169770518653,12
59,98.39645182121969,0.2050854371818871,-5.791516980154829,-2.3501365807022094,90.45988369754508,17
60,101.88720039976617,0.2203350711395995,-5.93013167544415,-2.184848368906003,93.99255542655521,12
61,99.87516177051991,0.22791171312630118,-6.068147444348023,-2.238534889070896,91.79639115022702,12
62,97.26736359671905,0.20599661270429762,-6.2059086826715255,-1.9581783172297307,89.30927320952208,13
63,96.30421756017512,0.12325665392850885,-6.322589302568235,-0.6423258190464335,89.46255909248906,11
64,98.52389253338322,0.13585765711462433,-6.411337932129065,1.094893461202442,93.34330571957152,11
65,99.18802762950061,0.15107327292176687,-6.478061486635739,1.5956511850662556,94.45669060085318,10
66,99.23268842346975,0.10664881001223811,-6.543145871028455,1.1152639832554077,93.91145534570907,11
67,98.69304141681026,0.13671111931285915,-6.6158891961822075,0.9898218081538216,93.20368514809478,11
68,98.7706008249889,0.6101412123410062,-6.6954560347100855,-0.6843945318915663,92.00089147072863,12
69,104.67221882489675,0.5041313008739263,-6.817865797157324,-0.8990669216450364,97.45941740696841,11
70,101.99079541754178,0.5021475829157842,-6.899538671095824,1.3195083471461972,96.91291267650767,12
71,101.61800807526681,0.4836487174788201,-6.951480203833622,2.068728157251791,97.21890474616355,12
72,100.62313819815392,0.4901150616966554,-7.005345443342161,1.646691172673528,95.75459898918139,11
73,100.37192850776603,0.49470207322030746,-7.061696550138878,1.6100110765979019,95.41494510744462,14
74,99.88588481122375,0.4894801580240185,-7.118739228530959,1.7510748267464116,95.00770056746252,11
75,98.38528295370413,0.5073693128333803,-7.179588445586724,1.5895871204933967,93.30265094144336,11
76,96.72839732704739,0.500066468086829,-7.242901011888195,0.8541030769282029,90.8396658601733,13
77,94.34754465679383,0.5156214435869745,-7.306227411950195,1.5399000255333397,89.09683871396304,9
78,98.91615142428398,0.522376077660089,-7.374295535208979,0.8737805753365097,92.938012542071,12
79,98.11836802521594,0.521283640655816,-7.4587946697516045,0.008835526825876435,91.18969252294531,13
80,96.16946033356905,0.5230060944559465,-7.541146860773797,0.9219436927155276,90.07326325996574,12
81,95.53450849798936,0.5329702508861534,-7.594845825150715,2.743219573246109,91.21585249697026,15
82,96.67998188034385,0.5472322488249564,-7.626767055941816,3.5052863429455092,93.1057334161718,11
83,97.07642115188743,0.5489994773725061,-7.643760934817831,4.466768314292884,94.44842800873428,10
84,97.61591070559078,0.5355296733110402,-7.647430854160657,4.922070472394789,95.42607999713559,10
85,97.14823173211384,0.5218694844972712,-7.664901697779463,3.3477669273492943,93.35296644618056,10
86,100.33455488239066,0.5583204225823422,-7.692550742346942,3.0612940774346207,96.26161864006015,11
87,100.31114786116338,0.5555104026448211,-7.730423787198088,1.407789765118024,94.54402424172737,12
88,100.65884574485648,0.5514534182428814,-7.780458649904283,1.7103036044515803,95.14014411764586,10
89,98.69895243521717,0.5399117900520292,-7.83843008861475,1.0268671332446375,92.42730126989844,11
90,97.79642822167567,0.5514305917202029,-7.902625088742026,0.8344415351329529,91.27967525978583,11
91,97.0750740957943,0.5513083848009315,-7.9682145416903705,0.9282176050890727,90.58638554399312,11
92,97.36925071476959,0.5291702505832803,-8.02686141644267,0.8163100787901144,90.68786962769933,11
93,98.5849424879174,0.37776410130049454,-8.08527551415375,-0.12045018662888635,90.75698088843419,9
94,100.01948839951758,0.4495220414350039,-8.16176516576066,1.4743215673712045,93.7815668425626,10
95,113.41738751673707,0.45307672868464344,-8.202132471068897,2.581400370354424,108.24973214470646,14
96,130.46969836518852,0.5071418163039804,-8.24602775724512,2.0700869717212558,124.80089939596797,12
97,140.72788330919866,0.5637494704596843,-8.281275173270346,2.347699487384728,135.35805709377212,13
98,151.90345595262215,0.5359338031417626,-8.31482991612744,2.104127593812791,146.22868743344867,10
99,164.7363071961886,0.5708790659055187,-8.350139255770166,2.124988625217775,159.08203563154112,9
100,187.82262750869197,0.5976822634522989,-8.392559480915525,1.5597695535895864,181.58751984481773,12
101,190.16772015880414,0.5602980450426831,-8.451175040424102,2.791234841364908,185.06807800478703,11
102,188.96155042951028,0.5542010473529199,-8.492517118013696,4.355436316371726,185.37867067522063,11
103,187.97949810777695,0.5657268566490936,-8.529057517283539,3.0548213190519506,183.07098876619366,11
104,187.4811848888048,0.5665285059869422,-8.545485517407247,7.4647399188444075,186.96696779622812,14
