elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
0,0.0,0.0,0.0,0.0,0.0,14
1,-0.9564112899077514,0.020682422820781254,-0.1314257100587053,0.8247399598518038,-0.24241461729429936,12
2,-1.644139169932545,0.028739077336257968,-0.23927261891269858,4.254164486868086,2.3994917753588716,14
3,3.812975902863892,0.028307135292872654,-0.3033736165546941,7.707819594610696,11.245729016212255,12
4,2.4592323279448562,0.04297400888479708,-0.3214931881218739,11.823858086321753,14.004571235028452,12
5,0.5834485795774635,0.03285050166423631,-0.30619686158285475,14.577684488301713,14.887786707959657,13
6,0.05615739731645131,0.015105779478173126,-0.26452046699060894,15.604361005979209,15.411103715782684,12
7,-1.493774237658823,-0.009469348962103386,-0.20664895551206364,17.14966438794229,15.439771845808648,10
8,7.208625118394868,-0.010433669968672815,-0.13537129777649604,17.94707094823455,25.0098910988836,12
9,31.20349136193359,0.11280462174399897,-0.06452073804983094,15.327200213312356,46.57897545893989,12
10,30.46062475518332,0.08418077200608809,-0.05607833860170075,7.292088516114385,37.78081570470235,12
11,50.378643422680405,0.12923581256833216,-0.158569160131929,-4.690639456213943,45.65867061890309,14
12,75.33066644749502,0.1660270997827632,-0.3896444900834908,-17.62831754354963,57.47873151364441,15
13,87.96298532439094,0.08897342083821097,-0.7475501035117311,-27.00216801195914,60.302240629758195,12
14,86.88930432919003,0.14801915079651234,-1.186209635313821,-32.36328011596103,53.48783372871131,10
15,86.30946369436026,0.12276776843061954,-1.6546682458906208,-33.064432573209714,51.71313064369019,10
16,90.60827713892735,0.1398447825292916,-2.0991656999848125,-27.467427295538776,61.18152892593251,12
17,86.54308252795343,0.15784725935841049,-2.4488650471344364,-14.680175614265307,69.57188912591096,11
18,88.77998612029708,0.190365995519936,-2.65779514744945,0.20422375441625307,86.51678072278268,7
19,88.7800086891665,0.21392368174831056,-2.7420300843215912,8.916544140623403,95.1684464272149,15
20,88.57100423669597,0.17423594043021234,-2.7611995275377286,13.007301682336914,98.9913423319236,10
21,90.04496207429155,0.08023636978240217,-2.7388567182573187,16.758775829487927,104.1451175553025,11
22,90.2821774410692,0.06735648003178651,-2.702568523450779,13.777102272720688,101.42406767036879,11
23,95.81839542723365,0.048032827079634854,-2.7614296128009173,-0.13910381569658264,92.96589482581385,11
24,96.76090842933966,0.05868546170020794,-2.9915953101248327,-24.218915846571644,69.60908273434185,10
25,96.03983287330227,0.0852074377994872,-3.4797887444878395,-54.40796634775691,38.23728521885569,12
26,94.96672624258606,0.10029993058580056,-4.1998670814876125,-73.42981008980857,17.437349001874544,13
27,92.70085662313903,0.17574110073452298,-5.041473382161154,-81.91066002765325,5.9244643140581275,15
28,95.12004123843701,0.1763097599095112,-5.927931950162765,-83.89520501790386,5.473214030278443,13
29,90.94089679470214,0.12725064542383668,-6.822307238666198,-84.08195355512028,0.16388664633796957,13
30,90.36685365503627,0.1280608710736424,-7.709325323489939,-82.60153662930638,0.1840525733119449,10
31,93.94918362057187,0.1597849778264025,-8.583344854626088,-79.93209611964691,5.593527624124013,15
32,93.23869639140732,0.16387104575265,-9.429484238250012,-76.1706714371818,7.802411761726736,11
33,92.69399515590592,0.18383506515791376,-10.237906970892585,-71.62696384962808,11.012959400541549,9
34,91.32420143261001,0.20596734423093793,-11.013244860931447,-66.6223220792426,13.894601836665402,14
35,91.72114413959964,0.19133421429377157,-11.743313705877188,-62.41623598973932,17.75292865827528,14
36,92.37046413898577,0.18546329098910674,-12.446343722916694,-59.780896027908206,20.32868767914858,13
37,93.71094697800122,0.19501087009378126,-13.12930354363214,-57.27031142919506,23.506342875266494,12
38,93.79659553791042,0.17075341245060782,-13.790786477673404,-55.024186011226654,25.15237646145972,10
39,96.57069022779312,0.19632238288087217,-14.432693552235857,-53.16007092398624,29.174248134450274,11
40,98.12597660198477,0.20995968884056732,-15.062309590207985,-51.68682319288455,31.58680350773104,12
41,96.90431494941113,0.22473924847591537,-15.679670491327485,-50.88579300526787,30.563590701289822,9
42,95.28670469779655,0.2066631726974919,-16.295543538349257,-50.41088295302709,28.786941379115866,12
43,94.04734727478969,0.20444555838562872,-16.90221581097825,-49.26886301724412,28.08071400495077,10
44,92.89014323565277,0.20487492194302925,-17.497449574085994,-48.13827292629365,27.45929565721408,10
45,91.61558530316894,0.21163937246729203,-18.083879206403214,-46.78680219680259,26.956543272428068,12
46,91.87661848809088,0.2343733312861973,-18.65425825595419,-44.54247872904806,28.914254834372723,11
47,91.53701994335226,0.2873961592493187,-19.203759325042657,-41.18457105174262,31.436085725814156,12
48,90.4915545778718,0.2820047786783543,-19.723370516455596,-36.56986203950677,34.48032680058525,10
49,88.68530162289191,0.27792471289485365,-20.21417131817061,-32.3518056215782,36.39724939603519,13
50,88.70981965504448,0.25100637382613455,-20.658242599013967,-25.013310545848128,43.28927288400621,12
