elapsed_s,raw_sensor_z_integral,installation_and_3d_rotation,saved_gyro_bias_effect,contact_update_rotation_effect,actual_native_yaw_increment,contact_switch_intervals
0,0.0,0.0,0.0,0.0,0.0,12
1,1.1026858233200272,0.025915526436959633,-0.06302774424828583,0.7635529518174361,1.8291265573257676,11
2,1.4540120049985614,0.03073023724540183,-0.023920892601430488,4.2768699217969015,5.737691271438866,13
3,2.926120083911181,-0.034130002309793114,0.11398453237419681,4.775254984216966,7.781229598192408,11
4,2.837366156057705,-0.041578428382846505,0.18631828685694463,1.2910885139460118,4.273194528477445,12
5,9.178544539452202,-0.05905397334513242,0.09384158087270755,-3.163807119908704,6.049525027070589,12
6,26.178036259205776,0.008719700952887429,-0.1381643669627266,-5.242670598108035,20.805920995087668,12
7,31.789588277868408,-0.02248424788651273,-0.34321338942563706,-1.2713602096667118,30.152530430889573,10
8,53.68699999538712,0.1088637208278833,-0.2824916854338684,7.58167266641483,61.095044697196215,13
9,56.96737972021249,0.03160206574782025,-0.08895045822566461,5.298633722284518,62.20866505001966,15
10,61.637689402794834,-0.01312866080982255,-0.08091188726000675,-2.064608893654437,59.479039961070974,17
11,80.28015272396003,0.3015873691138531,-0.34239856068587926,-13.062520829065585,67.17682070332344,11
12,90.23309312244949,0.32882027802705127,-1.1232000481053603,-35.304275560777356,54.134437791595026,13
13,95.09835006182267,0.32980792036500667,-2.663447933545786,-61.40040629119593,31.364303757447217,12
14,95.4794622815533,0.3334483973768565,-4.89287280136849,-79.07555855188251,11.844479325680314,13
15,94.89657306319496,0.31369108626916964,-7.389905059166116,-80.36373666371139,7.456622426587912,13
16,102.61251853278821,0.3550294739881725,-9.80869739916871,-73.83666613598696,19.322184471622045,15
17,102.04360963655888,0.36438260676681383,-12.027127822155895,-67.79036694348244,22.590497477688817,13
18,98.96505095881385,0.3683427700451387,-14.116070944707833,-63.20661183861757,22.01071094553484,13
19,98.46340647566839,0.372492833902692,-16.0443149310952,-55.827008313926854,26.964576064549718,14
20,95.65159777266294,0.4037364819248645,-17.78236477584304,-47.971002564134274,30.301966914611157,13
21,94.26617036139893,0.38856604026403624,-19.323492111961773,-40.0438961956357,35.2873480940661,13
22,93.8026222476771,0.36094272775178765,-20.693451048107498,-33.32613538797208,40.14397853934952,11
23,93.53449861086241,0.3456976645476877,-21.899818959558072,-25.099440552713386,46.88093676313884,10
24,93.18928398997669,0.3853356512950962,-22.890139717635517,-14.852475482077773,55.83200444155895,14
25,93.41425968991656,0.36502164036317014,-23.661715888567734,-5.943060411812233,64.17450502989975,11
26,93.65914909195465,0.3755955052766941,-24.24271070203438,2.3240116747347384,72.1160455699319,10
27,93.66495174916062,0.3905209323894353,-24.67348611938629,8.251118230374127,77.6331047925381,13
28,93.73567552524335,0.38594432690038694,-24.99127472991109,13.218873929994205,82.34921905222652,11
29,93.24882383295001,0.3839285790975356,-25.22009222046168,16.539510489886204,84.95217068147127,12
30,92.75588618657463,0.36547088377324743,-25.394577691788484,19.151391226210293,86.87817060476893,11
31,90.94782007408108,0.3483324762662703,-25.51843711316769,21.58947470914625,87.36719014632533,15
32,89.5767332429377,0.36159656204665586,-25.608044362394946,22.863054347318993,87.19333978990777,13
33,89.81515273372281,0.3467306936227518,-25.672903556611494,23.303637806290784,87.7926176770238,12
34,88.43670216781774,0.3448749120629109,-25.735463858851272,23.806558027771587,86.85267124879981,12
35,87.90382526571034,0.3325362449337514,-25.785141784341906,25.21890116718251,87.6701208934837,11
36,88.46512073580975,0.3222414973899395,-25.79219814980523,28.5163146388975,91.5114787222907,14
37,94.93553017715396,0.3385639206960018,-25.730046464574155,32.45652539504818,102.00057302832283,12
38,104.77925204448256,0.38107198020534,-25.6070922415226,34.75307319911589,114.30630498227978,11
39,98.60232060128634,0.3706026981518866,-25.459867574852584,36.231128861150204,109.74418458573439,15
40,99.66482175386054,0.380821419643959,-25.291345793509254,37.084493429576405,111.83879080956997,10
41,99.76259781705065,0.4191259377289643,-25.108701473983402,38.086049567735344,113.15907184852962,9
42,99.72270428212433,0.401291379139632,-24.909186634523735,39.2639677759187,114.47877680265657,13
43,101.33523709798986,0.40304201359621394,-24.689476039025852,40.16786690863628,117.2166699811944,10
44,102.29387688412288,0.4152933946417942,-24.460047869388216,40.2873423754795,118.53646478485389,11
45,101.73080338313352,0.40627595483691376,-24.23002407431466,39.922921630117244,117.82997689377073,14
46,100.95337834166182,0.3989962251534045,-24.00790480904989,39.157718958018386,116.50218871578176,12
47,101.01931233075578,0.3669459770042051,-23.797965231675054,37.8810586132783,115.46935168936119,12
48,100.84798857250338,0.3479301417289174,-23.605376611590646,36.49065081430958,114.0811929169493,9
49,99.78453050443417,0.36516363547837477,-23.44460153899542,34.50188809738494,111.20698069830017,11
50,99.83929179208693,0.3631229594570318,-23.3157229143041,32.23604240067177,109.12273423790991,14
51,98.85637454398947,0.3514708194204889,-23.21689166738595,30.896346271211087,106.8872999672335,11
52,98.04480315976913,0.3520269879049171,-23.131888988462695,30.497348971782856,105.76229013099237,14
53,97.64037674162466,0.3607032764510548,-23.045283530365907,30.768641559730476,105.72443804743867,12
54,97.22581993889541,0.3863407845551232,-22.958824581973747,31.030539260243586,105.68387540171922,10
55,98.38054878692178,0.4133675693575531,-22.864990770796407,31.185395932244756,107.11432151772686,13
56,98.61679133884687,0.44974250728494236,-22.768104394525217,31.89790879061162,108.19633824221759,11
57,98.99250586989855,0.4270983586998221,-22.659990252830905,32.731444742524374,109.49105871829083,11
58,98.57576489520885,0.4157530804309646,-22.54307275167648,33.16858781948691,109.61703304344913,12
59,98.39645182121969,0.39809465627650437,-22.421005152977216,32.85045818573377,109.22399951025128,17
60,101.88720039976617,0.43655504763318054,-22.306948711033982,31.830906049613173,111.84771278597698,12
61,99.87516177051991,0.43126202344267606,-22.213873847491662,29.829636512870852,107.92218645934008,12
62,97.26736359671905,0.39146744042484716,-22.140180569767367,28.53702363998228,104.05567410735691,13
63,96.30421756017512,0.3083499931396037,-22.067770464925815,28.199414510110934,102.74421159849773,11
64,98.52389253338322,0.3295185102841054,-22.00345390892223,28.936030276449127,105.7859874111919,11
65,99.18802762950061,0.3475220231644653,-21.925650653537723,30.236799881276642,107.8466988804018,10
66,99.23268842346975,0.3049112940064548,-21.833771117008578,31.587464511904304,109.29129311236956,11
67,98.69304141681026,0.33279789524076525,-21.72505900606093,33.05709146799652,110.35787177398443,11
68,98.7706008249889,0.8273181944511468,-21.602270933898346,35.24274273761839,113.2383908231578,12
69,104.67221882489675,0.738332949161312,-21.4551905005051,35.65927619944538,119.61463747299614,11
70,101.99079541754178,0.7260353381051631,-21.317553960831333,33.82599560072588,115.22527239553882,12
71,101.61800807526681,0.7073771985387318,-21.201441153324208,31.99103523683348,113.1149793573118,12
72,100.62313819815392,0.7071927436665791,-21.10899857051931,29.381744128062753,109.603076499361,11
73,100.37192850776603,0.7074172212506541,-21.04460047468665,26.8000568305058,106.83480208483286,14
74,99.88588481122375,0.6964218677882357,-21.00815992685151,24.173491997219006,103.74763874937597,11
75,98.38528295370413,0.7189385732588756,-20.996660227437655,22.104979741551546,100.21254104107351,11
76,96.72839732704739,0.7129984146820777,-21.004849124581952,20.884295580845144,97.32084219798958,13
77,94.34754465679383,0.7127862433367381,-21.018931692294604,20.437866443237652,94.47926565107069,9
78,98.91615142428398,0.7354006213703691,-21.036299640256775,20.687323362007344,99.30257576740202,12
79,98.11836802521594,0.7441200128184192,-21.03771008996552,23.26182840678948,101.08660635485558,13
