case_id,family,type,seed,method,config,yaw_rmse_deg,horizontal_rmse_m,up_rmse_m,yaw_p95_deg,failure_class,pre_failure_yaw,pre_failure_h,pre_failure_up,input_identity_note,source_run_dir,output_sha256
D18_seed_07,位置偏差,D18,seed_07,LC01,LIT,2.994831063286891,1.7358663634825835,0.6097761727559063,4.968120657370581,NONE,,,,,$HX03/RUNS/BY2__LC01__LIT__D18_seed_07__seed_07,b6bb62d4869fd4c7ebeefeceae0f148ff3b7e1e068cb32aa42819f9e4767f9d1
D18_seed_07,位置偏差,D18,seed_07,EXT05C,LIT,12.067678591742505,1.7375181135869575,0.6101901083426544,16.887776775172235,NONE,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D18_seed_07__seed_07,0b1f44e72d904c6635c68d4ac3f12ef512b4d594a46c91b08d7c1eda827ba719
D18_seed_08,位置偏差,D18,seed_08,LC01,LIT,2.9948273434644945,1.7539246873262153,0.6097716917248693,4.968149853813321,NONE,,,,,$HX03/RUNS/BY2__LC01__LIT__D18_seed_08__seed_08,5bfe3b165f267560fe1eb6457b34414ed02760cdf77aa0d38d8658726d31da29
D18_seed_08,位置偏差,D18,seed_08,EXT05C,LIT,12.011590018299932,1.7512465294459905,0.6101857116053002,16.833600061447996,NONE,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D18_seed_08__seed_08,a8e0103bf10800117297f1e40d183c6964000d0d15c9972336cf271db2eaf4b3
D03_seed_00,位置中断,D03,seed_00,LC01,LIT,2.9987564702903406,0.42206179443531716,1.1937072097618933,4.968141341576635,NONE,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_00__seed_00,ebfd30313596f67b3cc45f524b891b55a6aada968083d2186cbd0d9c70f77c12
D03_seed_00,位置中断,D03,seed_00,EXT05C,LIT,11.625496291544621,0.22132724259266895,1.2487853431698552,16.807845981324682,NONE,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_00__seed_00,a925e5f8cf9cad2b4f09e2d6b5c4288466f129c516bbc682dc3dcbd52c499ee5
D03_seed_01,位置中断,D03,seed_01,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_01__seed_01,f5778614570dfdadfe9ec8fbf78946d7ab950267be2671fa71583716d7e375b4
D03_seed_01,位置中断,D03,seed_01,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_01__seed_01,9269b85171a2e61b536d18b4713b6b39d5f1bbec14da89c4af76e3b57cd08e34
D03_seed_02,位置中断,D03,seed_02,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_02__seed_02,ce536511fe89bb0762c3231bd76803ffdadfab24a8f692ab010236a1b8b5d98a
D03_seed_02,位置中断,D03,seed_02,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_02__seed_02,96da662bcf73c0cef813a923e2af75effb7f8e3eb5ec0dcf84c957d78a060f63
D03_seed_03,位置中断,D03,seed_03,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_03__seed_03,7b34fd40669dcd30ab43dd2b84932b5766acc25181feac472de25f61a17e2277
D03_seed_03,位置中断,D03,seed_03,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_03__seed_03,4d1afc682d771c271c6d0015145c2e1312ff098bf083d38ebb7295f2ea87b741
D03_seed_04,位置中断,D03,seed_04,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_04__seed_04,384b4a61ba320acaf0dbec6ac896bada2007a015a4ded0fbb50d7d593190a700
D03_seed_04,位置中断,D03,seed_04,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_04__seed_04,70d1ea076e9a6c89b85210a0be1c024181da60bef5f3082052c93cb1531201d2
D03_seed_05,位置中断,D03,seed_05,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_05__seed_05,710d5cf2aee20340811e24aff4e5f36084b5df2e14bfed1f0adf33c4a446ecf9
D03_seed_05,位置中断,D03,seed_05,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_05__seed_05,2a1d3ff8e76d3cbf1ca62527ca27f839e571a4a2817a2a040d4f0ba567650027
D03_seed_06,位置中断,D03,seed_06,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06,c2ce324cfe0ba329545f90787f53663ccdb4b8af3b10b801538376be21efcb9a
D03_seed_06,位置中断,D03,seed_06,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06,56fb50ef18ca3d00b0c4dffddc5347d3e07f0ebb352ec23ddf0a8382354a9f3e
D03_seed_07,位置中断,D03,seed_07,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07,9689c39b4e29d09f4aa36f637f87570edf97683ea17291e4b8da691a12ebcf21
D03_seed_07,位置中断,D03,seed_07,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07,9199d12ea7646ad85f441b0e8c172b4a1d46789013adcf4408b106be41320c96
D03_seed_08,位置中断,D03,seed_08,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08,2bc5153d928665aab195678ac09e7967a36718f092ff91517ef2adfae19acba3
D03_seed_08,位置中断,D03,seed_08,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08,fc6809f80016489034e259c57c67b3facc4b5207caf514504ccd585415330c8e
D04_seed_00,位置中断,D04,seed_00,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00,c0acdfc549f2f4b7b223057300937f4400f1edfc367328fa4876af1ace9b5857
D04_seed_00,位置中断,D04,seed_00,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00,dee8c72d0562a3db32b13ab95ba711bc6c45a765edcba765ce9851e450bea6f2
D04_seed_01,位置中断,D04,seed_01,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01,b8fda97fbe7619600845c9abc96137acef0dad528da4f202889c3ed8525c4f70
D04_seed_01,位置中断,D04,seed_01,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01,9608de0ebde7c5afbabd6c3762712cb93da4c80179f8d6ec46d90f6963f591da
D04_seed_02,位置中断,D04,seed_02,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_02__seed_02,007257ef45a424ccaba9c407bcd9d46ea22884e05d9804265c257441b0c1d061
D04_seed_02,位置中断,D04,seed_02,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_02__seed_02,41cd7516e17f8889570db2b4a97565dc8ab5ce89e7816d599ed18608871446ad
D04_seed_03,位置中断,D04,seed_03,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_03__seed_03,319a6a5d6d793b2b50d9fb77f41ca457d18a8ca4a0ec335aa1f94dd1d513227d
D04_seed_03,位置中断,D04,seed_03,EXT05C,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_03__seed_03,a7cb296d5bba6a2a092c9bed3664ffbb6ac56b682b380c7535737876a51a7d40
D04_seed_04,位置中断,D04,seed_04,LC01,LIT,,,,,UNAVAILABLE_EVALUATION_FAILED,,,,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_04__seed_04,1484bfe0b776cfd8e0124968a2311b8be47827b522b28f19569f25192838bcd2
