level,group,method,method_label,metric,registered_n,failure_n,finite_n,median,p95,max
type,D33,LC01,LC01,horizontal_rmse_m,9,0,9,0.09908652500514938,0.10001664773805367,0.10005595454096475
type,D33,LC01,LC01,up_rmse_m,9,0,9,0.05068010268550892,0.050683461542746645,0.050684241743219484
type,D33,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D33,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D33,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D35,LC01,LC01,yaw_rmse_deg,9,0,9,3.2589641707615926,3.470046647134572,3.5458535187987317
type,D35,LC01,LC01,horizontal_rmse_m,9,0,9,0.09831979065322156,0.09861995689906491,0.09869121333870796
type,D35,LC01,LC01,up_rmse_m,9,0,9,0.050670335158112804,0.0506730229585496,0.05067393635597692
type,D35,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D35,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D35,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D32,LC01,LC01,yaw_rmse_deg,9,0,9,3.0732372905937844,3.168793004162495,3.212720389625069
type,D32,LC01,LC01,horizontal_rmse_m,9,0,9,0.09760637074139927,0.09781536588033561,0.09782793965409108
type,D32,LC01,LC01,up_rmse_m,9,0,9,0.05066493504690247,0.05066553077395214,0.05066558455383606
type,D32,EXT05C,EXT05C,yaw_rmse_deg,9,0,9,12.048641737808111,12.048641737808111,12.048641737808111
type,D32,EXT05C,EXT05C,horizontal_rmse_m,9,0,9,0.0877508129138417,0.0877508129138417,0.0877508129138417
type,D32,EXT05C,EXT05C,up_rmse_m,9,0,9,0.05646995229568549,0.05646995229568549,0.05646995229568549
type,D31,LC01,LC01,yaw_rmse_deg,9,9,0,,,
