level,group,method,method_label,metric,reference_method,registered_n,paired_n,difference_median,difference_p95,difference_definition,source
type,D14,EXT05C,EXT05C,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D14,EXT05C,EXT05C,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,yaw_rmse_deg,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,yaw_rmse_deg,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,yaw_rmse_deg,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,LC01,LC01,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,yaw_rmse_deg,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,yaw_rmse_deg,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,yaw_rmse_deg,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D21,EXT05C,EXT05C,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,yaw_rmse_deg,F04,9,9,1.1085553214690316,1.1085568495379912,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,yaw_rmse_deg,F02,9,9,0.7628750993073927,0.7628765807460132,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,yaw_rmse_deg,F03,9,9,1.0792361269860444,1.079237674385544,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,yaw_rmse_deg,A04,9,9,1.1088263279584847,1.108827862064397,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,horizontal_rmse_m,F04,9,9,-0.00426268371427585,0.008225189359479445,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,horizontal_rmse_m,F02,9,9,-0.011687830090320261,0.017553281413697254,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,horizontal_rmse_m,F03,9,9,-0.00731268059482626,0.012045302569625304,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,horizontal_rmse_m,A04,9,9,-0.0032500387659377683,0.006857637979976694,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,up_rmse_m,F04,9,9,0.01750309016354057,0.01750324568071928,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,up_rmse_m,F02,9,9,0.019800667714428455,0.01980088457157967,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,up_rmse_m,F03,9,9,0.02036717140517641,0.020367396882791412,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,LC01,LC01,up_rmse_m,A04,9,9,0.016989461673975637,0.0169896093137192,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,yaw_rmse_deg,F04,9,9,10.162192762414499,10.16296033210798,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,yaw_rmse_deg,F02,9,9,9.8165124042815,9.817280161339006,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,yaw_rmse_deg,F03,9,9,10.1328735824785,10.133641133260356,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,yaw_rmse_deg,A04,9,9,10.162463785223732,10.163231353459736,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,horizontal_rmse_m,F04,9,9,-0.008733579394278213,0.01100292731740713,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,horizontal_rmse_m,F02,9,9,-0.01696620565019402,0.020310438555529144,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,horizontal_rmse_m,F03,9,9,-0.012281235944038738,0.014810400737092921,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,horizontal_rmse_m,A04,9,9,-0.007350611213529756,0.00965137012467987,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,up_rmse_m,F04,9,9,0.019182903370330018,0.01918302037731532,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,up_rmse_m,F02,9,9,0.021480480921217904,0.021480659039978332,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,up_rmse_m,F03,9,9,0.02204698461196586,0.0220471712969015,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D16,EXT05C,EXT05C,up_rmse_m,A04,9,9,0.018669274880765085,0.018669384031537194,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,yaw_rmse_deg,F04,9,9,1.1085187089655806,1.108683972388434,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,yaw_rmse_deg,F02,9,9,0.7628740913346443,0.7628821581710984,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,yaw_rmse_deg,F03,9,9,1.0791791067858247,1.0793569405184236,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,yaw_rmse_deg,A04,9,9,1.108772255216667,1.1089921142175871,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,horizontal_rmse_m,F04,9,9,-0.00242071189326043,0.007915162564818478,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,horizontal_rmse_m,F02,9,9,-0.013074708081020292,0.01881342493775251,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,horizontal_rmse_m,F03,9,9,-0.007284002467186523,0.013596656978370624,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,horizontal_rmse_m,A04,9,9,-0.0005139155541782348,0.0057669889518735746,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,up_rmse_m,F04,9,9,0.018962397067924686,0.018969101093626307,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,up_rmse_m,F02,9,9,0.021708357133943035,0.02170839969635907,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,up_rmse_m,F03,9,9,0.02257751638235661,0.022583900306911618,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,LC01,LC01,up_rmse_m,A04,9,9,0.018343975487737252,0.01834839396902299,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,yaw_rmse_deg,F04,9,9,10.125472669858736,10.235116245125093,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,yaw_rmse_deg,F02,9,9,9.779636766170082,9.88948710688045,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,yaw_rmse_deg,F03,9,9,10.09613817583453,10.205824833869189,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,yaw_rmse_deg,A04,9,9,10.125790070184493,10.235373294581064,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,horizontal_rmse_m,F04,9,9,-0.0014231820383050486,0.012691850200854527,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,horizontal_rmse_m,F02,9,9,-0.01207717822606491,0.02175111573917614,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,horizontal_rmse_m,F03,9,9,-0.006286472612231142,0.017104380162700217,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,horizontal_rmse_m,A04,9,9,0.00037402456423030195,0.011053627631006079,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,up_rmse_m,F04,9,9,0.019376332654672757,0.01938315174105152,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,up_rmse_m,F02,9,9,0.022122239712792147,0.02212241690653851,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,up_rmse_m,F03,9,9,0.02299145196910468,0.02299795095433683,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D18,EXT05C,EXT05C,up_rmse_m,A04,9,9,0.018757911074485323,0.018762444616448205,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,yaw_rmse_deg,F04,9,1,1.1131219815991862,1.1131219815991862,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,yaw_rmse_deg,F02,9,1,0.7664697478170881,0.7664697478170881,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,yaw_rmse_deg,F03,9,1,1.0838640765118448,1.0838640765118448,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,yaw_rmse_deg,A04,9,1,1.1133774453131624,1.1133774453131624,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,horizontal_rmse_m,F04,9,1,0.3223250874360693,0.3223250874360693,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,horizontal_rmse_m,F02,9,1,-1.9647841214395771,-1.9647841214395771,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,horizontal_rmse_m,F03,9,1,0.32137836659616204,0.32137836659616204,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,horizontal_rmse_m,A04,9,1,0.3214586350691343,0.3214586350691343,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,up_rmse_m,F04,9,1,1.1440052688108564,1.1440052688108564,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,up_rmse_m,F02,9,1,0.8297826620974198,0.8297826620974198,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,up_rmse_m,F03,9,1,1.1457681279225422,1.1457681279225422,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,LC01,LC01,up_rmse_m,A04,9,1,1.1430600619194418,1.1430600619194418,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,yaw_rmse_deg,F04,9,1,9.739861802853467,9.739861802853467,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,yaw_rmse_deg,F02,9,1,9.393209569071368,9.393209569071368,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,yaw_rmse_deg,F03,9,1,9.710603897766125,9.710603897766125,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,yaw_rmse_deg,A04,9,1,9.740117266567443,9.740117266567443,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,horizontal_rmse_m,F04,9,1,0.1215905355934211,0.1215905355934211,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,horizontal_rmse_m,F02,9,1,-2.165518673282225,-2.165518673282225,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,horizontal_rmse_m,F03,9,1,0.12064381475351385,0.12064381475351385,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,horizontal_rmse_m,A04,9,1,0.12072408322648612,0.12072408322648612,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,up_rmse_m,F04,9,1,1.1990834022188184,1.1990834022188184,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,up_rmse_m,F02,9,1,0.8848607955053818,0.8848607955053818,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,up_rmse_m,F03,9,1,1.2008462613305042,1.2008462613305042,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D03,EXT05C,EXT05C,up_rmse_m,A04,9,1,1.1981381953274037,1.1981381953274037,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,yaw_rmse_deg,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,yaw_rmse_deg,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,yaw_rmse_deg,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,LC01,LC01,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,yaw_rmse_deg,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,yaw_rmse_deg,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,yaw_rmse_deg,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,yaw_rmse_deg,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,horizontal_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,horizontal_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,horizontal_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,horizontal_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,up_rmse_m,F04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,up_rmse_m,F02,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,up_rmse_m,F03,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D04,EXT05C,EXT05C,up_rmse_m,A04,9,0,,,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,yaw_rmse_deg,F04,9,9,1.1210162887297224,1.1386318024581108,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,yaw_rmse_deg,F02,9,9,0.7628752042510945,0.7628752042510945,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,yaw_rmse_deg,F03,9,9,1.0731020600092922,1.1095755319307499,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,yaw_rmse_deg,A04,9,9,1.1026153794937257,1.1387701695022607,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,horizontal_rmse_m,F04,9,9,-0.006400274192919456,-0.005070712669123973,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,horizontal_rmse_m,F02,9,9,-0.004373901918778067,-0.004373901918778067,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,horizontal_rmse_m,F03,9,9,-0.017110742072272936,-0.014158829724961998,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,horizontal_rmse_m,A04,9,9,-0.00977646423666248,-0.007142558800006405,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,up_rmse_m,F04,9,9,-0.0028080400447803924,-0.0014500127108080883,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,up_rmse_m,F02,9,9,0.0025958961248767898,0.0025958961248767898,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,up_rmse_m,F03,9,9,-0.008054352394838968,-0.006358696533382053,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,LC01,LC01,up_rmse_m,A04,9,9,-0.009174877243059043,-0.007586912732888701,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,EXT05C,EXT05C,yaw_rmse_deg,F04,9,9,10.174830566478725,10.192446080207114,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,EXT05C,EXT05C,yaw_rmse_deg,F02,9,9,9.816689482000099,9.816689482000099,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,EXT05C,EXT05C,yaw_rmse_deg,F03,9,9,10.126916337758296,10.163389809679753,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
type,D43,EXT05C,EXT05C,yaw_rmse_deg,A04,9,9,10.156429657242729,10.192584447251265,external_minus_reference,$V3/07_AGGREGATE/CORE_541_DISTRIBUTION_V3.csv
