native_leg_index,leg,axis,position_finite_count,position_total_count,position_finite_rate,position_minimum,position_p01,position_p05,position_p25,position_p50,position_p75,position_p95,position_p99,position_maximum,position_mean,position_std,speed_finite_count,speed_total_count,speed_finite_rate,speed_minimum,speed_p01,speed_p05,speed_p25,speed_p50,speed_p75,speed_p95,speed_p99,speed_maximum,speed_mean,speed_std,force_contact_position_std,force_no_contact_position_std,finite_position_rate,finite_speed_rate,time_alignment_contract,position_to_imu_max_offset_seconds,speed_to_imu_max_offset_seconds,input_only_step_norm_threshold_m,candidate_discontinuity_count,maximum_position_step_m,data_status,terminal_status,complete_record_count,timestamped_record_starts
0,FR,x,63277,63277,1.0,-0.009580254554748535,0.021048285365104676,0.03157148957252502,0.09960964322090149,0.1727190464735031,0.2572760581970215,0.3226021409034729,0.3332351493835449,0.3532867431640625,0.1770544979317853,0.09281956550790063,63277,63277,1.0,-2.308137893676758,-1.7411200714111328,-1.407761001586914,-1.1561247110366821,-0.6334143877029419,1.4377800226211548,2.361937999725342,2.5144971656799315,2.912426233291626,0.011323120015441323,1.3813749281402403,0.06971817357101995,0.10556975935220396,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.04152115972939477,2,0.13445105364419574,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
0,FR,y,63277,63277,1.0,-0.17045524716377258,-0.14769524753093718,-0.13754894137382506,-0.1277565062046051,-0.1241423487663269,-0.11947426199913025,-0.10986155271530151,-0.09817624032497407,-0.05848522484302521,-0.12366409722195122,0.008781478288456582,63277,63277,1.0,-1.0396878719329834,-0.38603254318237307,-0.20570234060287476,-0.049747686833143234,0.005087438505142927,0.06405051052570343,0.22538266777992227,0.35148725867271413,0.7700004577636719,0.006586003690496333,0.1282322109859899,0.008841404916745716,0.008616963172458547,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.04152115972939477,2,0.13445105364419574,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
0,FR,z,63277,63277,1.0,-0.32801201939582825,-0.32219401001930237,-0.3220750689506531,-0.30241838097572327,-0.2954949140548706,-0.25123071670532227,-0.21283213198184966,-0.20927736520767212,-0.19863413274288177,-0.2784211241295318,0.03426348625402213,63277,63277,1.0,-1.4012631177902222,-1.1906917524337768,-1.0580158948898315,-0.09467466175556183,0.01114673912525177,0.22481679916381836,0.972220230102539,1.0705639362335195,1.2094573974609375,0.0010937968142424555,0.5657012789186876,0.00956437057874498,0.031147119159341572,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.04152115972939477,2,0.13445105364419574,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
1,FL,x,63277,63277,1.0,0.00344868004322052,0.021902714967727662,0.032814162969589236,0.10067452490329742,0.17825116217136383,0.26059842109680176,0.32730147838592527,0.33827123761177064,0.35609468817710876,0.18042300168871042,0.09369737203578221,63277,63277,1.0,-2.4440293312072754,-1.717837929725647,-1.4033426284790038,-1.188767910003662,-0.6768781542778015,1.4287829399108887,2.373556709289551,2.534168882369995,2.7625961303710938,-0.001706556115637029,1.395498081311198,0.07473799511523876,0.1063385844419159,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.042122316116437554,1,0.09854427902194372,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
1,FL,y,63277,63277,1.0,0.05963617563247681,0.09227375626564026,0.10591526329517365,0.11700569093227386,0.12140750885009766,0.1263270527124405,0.13356561958789823,0.14508335471153258,0.17664769291877747,0.12104932381579064,0.009115618650283982,63277,63277,1.0,-0.9058843851089478,-0.32285799980163576,-0.18684763312339783,-0.05219756066799164,0.004888489842414856,0.06307221949100494,0.20082125365734096,0.35451889157295224,0.9338482022285461,0.005995734162200522,0.11953262220890874,0.009191823187078467,0.009014098408439246,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.042122316116437554,1,0.09854427902194372,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
1,FL,z,63277,63277,1.0,-0.32438793778419495,-0.3154872727394104,-0.3153661787509918,-0.30284589529037476,-0.29606249928474426,-0.2515767514705658,-0.21220131814479828,-0.20882752120494844,-0.19965539872646332,-0.2782063490844514,0.03401771718180615,63277,63277,1.0,-1.5162290334701538,-1.2613907909393312,-1.1374741792678833,-0.10762423276901245,0.002639271318912506,0.19419358670711517,1.0199500799179075,1.1142987823486328,1.2968136072158813,0.006073052018036667,0.5790250604158896,0.007346255055172271,0.029853552639176495,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.042122316116437554,1,0.09854427902194372,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
2,RR,x,63277,63277,1.0,-0.3624282479286194,-0.34547848224639893,-0.33491244316101076,-0.26768454909324646,-0.197317972779274,-0.11201008409261703,-0.04508808255195619,-0.03525801360607149,-0.014065578579902649,-0.19019667329703355,0.09208530087427547,63277,63277,1.0,-3.658729076385498,-2.017580442428589,-1.3739002704620362,-1.1232270002365112,-0.6625644564628601,1.3303248882293701,2.398751401901245,2.577181873321533,2.880635976791382,0.007170551318468936,1.3805431524156802,0.07504224097455052,0.10634558107592648,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.0416677862091435,1,0.10014944026272689,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
2,RR,y,63277,63277,1.0,-0.21497312188148499,-0.1782399272918701,-0.16550683379173278,-0.15382826328277588,-0.1481158584356308,-0.14220723509788513,-0.11900585889816284,-0.11843064427375793,-0.0690234899520874,-0.147038523341433,0.012743323725127943,63277,63277,1.0,-0.9806159734725952,-0.4073799908161163,-0.19612099826335908,-0.06517994403839111,-0.013518386520445347,0.04121530055999756,0.23601537942886347,0.43340440988540624,1.0220248699188232,-0.005333395002198532,0.13543378411288096,0.014241192296278923,0.010346166829358246,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.0416677862091435,1,0.10014944026272689,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
2,RR,z,63277,63277,1.0,-0.33721762895584106,-0.3224024772644043,-0.3222847044467926,-0.30237752199172974,-0.29361316561698914,-0.25252169370651245,-0.21466177105903625,-0.21142174243927003,-0.20193055272102356,-0.2786008054401588,0.03339230265528909,63277,63277,1.0,-1.5016037225723267,-1.2375127601623535,-1.1094162702560424,-0.1421637386083603,-0.0009007757762447,0.1827368438243866,0.9547225832939148,1.037723789215088,1.2374393939971924,0.0036141167240426493,0.546670711080764,0.009497634059793722,0.02664067607459288,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.0416677862091435,1,0.10014944026272689,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
3,RL,x,63277,63277,1.0,-0.35521745681762695,-0.33796991348266603,-0.3260932207107544,-0.2597525119781494,-0.19494140148162842,-0.11083707213401794,-0.0454093635082245,-0.0358243077993393,-0.02244819700717926,-0.1863124659329251,0.08904527337894859,63277,63277,1.0,-4.231670379638672,-1.8825762176513672,-1.439189648628235,-1.080545425415039,-0.5963134169578552,1.3316370248794556,2.3098690509796143,2.4890777778625486,2.7281599044799805,-2.2635377234546337e-05,1.336968773362734,0.07005772508192622,0.10277346139034824,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.03999792027688051,2,0.12709934905280496,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
3,RL,y,63277,63277,1.0,0.0840720683336258,0.11925427854061127,0.12621735036373138,0.14089049398899078,0.14592672884464264,0.15179648995399475,0.16167917251586914,0.17288764715194702,0.20187141001224518,0.14550156982339682,0.010893795143228793,63277,63277,1.0,-0.8637321591377258,-0.3275224816799164,-0.1901309162378311,-0.059507567435503006,-0.004694065544754267,0.05032355338335037,0.17145194709300976,0.3450939631462095,0.843869149684906,-0.005174278903878515,0.11511470306102646,0.011616529253695137,0.009513372030661512,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.03999792027688051,2,0.12709934905280496,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
3,RL,z,63277,63277,1.0,-0.3218056559562683,-0.3194779670238495,-0.3193526268005371,-0.30025097727775574,-0.2933535873889923,-0.25177788734436035,-0.21416243612766267,-0.2108547329902649,-0.20226214826107025,-0.27735103494473645,0.032818098744354006,63277,63277,1.0,-1.4247301816940308,-1.200216956138611,-1.075147271156311,-0.10458750277757645,-5.2494837291305885e-05,0.181276336312294,0.9541516542434693,1.0427320957183837,1.2492176294326782,0.0003374198196084452,0.5431567818306866,0.008751632162443138,0.027573773625566733,1.0,1.0,same_message_timestamp_as_imu,0.0,0.0,0.03999792027688051,2,0.12709934905280496,REAL_BY2_COMPLETE_RECORD_PREFIX,PASS_LSE01_H0_H2_HARTLEY_SOURCE_METHOD_AND_BY2_CONTRACT_READY,63277,63278
