elapsed_s,err_e_m,err_n_m,err_u_m,horizontal_error_m,reference_path_m
0.0,0.08124567676501449,0.8309959745254194,0.10563015585430291,0.8349581843843779,0.0
1.0,0.04432963414684085,0.6866406270995706,0.1398866756538513,0.6880701034395292,1.0483037266529374
2.0,-0.003083323351103673,0.5114524681415351,0.08739343184458476,0.5114617620614033,2.2182850636352605
3.0,-0.03989765783120086,0.374611019801832,0.08939297102260207,0.3767296633627144,3.4103270067317206
4.0,-0.06101259153570765,0.20709465991946807,0.07038597025786167,0.21589519330699153,4.608071644058405
5.0,-0.08483189742857494,0.026980538571180546,0.010271629884695876,0.08901910066341505,5.766879134335717
6.0,-0.07642386124758521,-0.1712304449341211,-0.04664019604035716,0.1875112579028983,6.877302228756985
7.0,-0.06545258357164441,-0.3833941553802358,-0.05243340626481269,0.38894102261901803,8.014838638463315
8.0,-0.01073366096345496,-0.5893050974314367,-0.09128084791952445,0.5894028413032579,9.108980314834383
9.0,0.10635297221743123,-0.6580997861446516,-0.1645048342449149,0.6666380451362777,10.276071847548854
10.0,0.19265818542178836,-0.798758112713637,-0.17314472685782606,0.8216639818294748,11.460991489720556
11.0,0.410555990343517,-0.9478519710622972,-0.17606045079656318,1.032947036519118,12.612252094567173
12.0,0.5283324671383882,-1.027309986774382,-0.2025004840915725,1.1552060442877352,13.775848526745706
13.0,0.6495782313880047,-1.1062487804508674,-0.23291043499627523,1.2828632986184458,14.940080741623458
14.0,0.7832442059324407,-1.1392613242172676,-0.29087623074031077,1.382529511794964,16.168702212260374
15.0,0.9622222526156889,-1.19778985055577,-0.28195977824479573,1.536415370114223,17.41477987431518
16.0,1.1410468049385774,-1.254706780193775,-0.30444013019818555,1.6959589957675174,18.638012186950363
17.0,1.301914518159096,-1.2470426320088084,-0.4027170933228963,1.8028024680038819,19.82945362902753
18.0,1.4471741427288745,-1.299260887844346,-0.40909692335060166,1.944837230738123,21.00831389595018
19.0,1.6194608416928933,-1.3382620951222695,-0.40139307829846355,2.1008566950217475,22.24256959337699
20.0,1.775643634768402,-1.3704979526887247,-0.45810966510815576,2.2430280774028506,23.495626504222436
