elapsed_s,err_e_m,err_n_m,err_u_m,horizontal_error_m,reference_path_m
0.0,0.13345187094216893,0.4914133948702585,0.10585295498933806,0.5092116716218098,0.0
1.0,0.09776533199524842,0.4160628129898678,0.13850096970162978,0.42739481102744203,1.0483037266529374
2.0,0.04925928384274808,0.3046458590243435,0.08457072966034057,0.3086026190189911,2.2182850636352605
3.0,0.008592684413395169,0.2364583402835252,0.09077517190738082,0.23661441400529173,3.4103270067317206
4.0,-0.01924765155567637,0.1492674330064485,0.07163595857595731,0.15050328450483505,4.608071644058405
5.0,-0.044450765682969184,0.045496170448751094,0.010369840655108403,0.06360638407663215,5.766879134335717
6.0,-0.05594604850522261,-0.08711025951868656,-0.04602083387433806,0.10352853547095914,6.877302228756985
7.0,-0.08992703120309842,-0.22098401514336619,-0.052275081655299926,0.23858081626544606,8.014838638463315
8.0,-0.06942428289514146,-0.39096047918107146,-0.09162262853574316,0.39707660134663897,9.108980314834383
9.0,-0.0034095541714926902,-0.42625194398299904,-0.16458726526136203,0.4262655801362973,10.276071847548854
10.0,0.02715435486726747,-0.5325044149397993,-0.17393701551049695,0.5331963155523821,11.460991489720556
11.0,0.19110886305736052,-0.6643845992629576,-0.1797633812389251,0.6913244486323897,12.612252094567173
12.0,0.2720926294776218,-0.7408966891049378,-0.20641699775791583,0.7892796101146318,13.775848526745706
13.0,0.3519533990562209,-0.8210704468228496,-0.2351183980177904,0.8933240586445107,14.940080741623458
14.0,0.44347106329322994,-0.8550625844511739,-0.28921624083534236,0.9632230309262486,16.168702212260374
15.0,0.5344643483035671,-0.9188057745443832,-0.2759188469147487,1.0629469370310358,17.41477987431518
16.0,0.6430260949657107,-0.9792302501142487,-0.30015273036037066,1.1714838631179114,18.638012186950363
17.0,0.7366291225622241,-0.9843104610106455,-0.39541955006758495,1.2294265117776586,19.82945362902753
18.0,0.8115944192012101,-1.045315990272469,-0.40293929329515743,1.3233937512312282,21.00831389595018
19.0,0.904003185301562,-1.0923700720740257,-0.39731132712924094,1.417918944579831,22.24256959337699
20.0,0.9897444366372525,-1.132215772895794,-0.4598482835030842,1.503830644137967,23.495626504222436
21.0,1.0666718344090445,-1.2139642068726726,-0.45559744063116886,1.6160129634039304,24.73220080150118
22.0,1.1661535405297236,-1.2765952537047802,-0.48379573508666646,1.7290487332263316,25.98718008664251
23.0,1.2615595817677772,-1.2952883738844623,-0.5631932572254024,1.8081218293771975,27.228966133528047
24.0,1.3576144262268706,-1.3411413126658136,-0.5698325981488171,1.9083440336685353,28.494605638495795
25.0,1.4394445014524209,-1.3894254155137684,-0.5927076827120711,2.0006257666133402,29.7360976705694
26.0,1.5546712948385952,-1.4305559070836829,-0.6595879915799825,2.1126980471158516,31.02468039267623
27.0,1.629053353765407,-1.4751585032921213,-0.6516308703328288,2.197705039182777,32.26133902948079
28.0,1.70744658993981,-1.5325942504035392,-0.7167336765282177,2.294388588244605,33.52048207601018
29.0,1.7900757634568052,-1.5577438299070447,-0.7667421493369062,2.3729595610816743,34.747748022205585
30.0,1.8985872667781223,-1.6242935942637402,-0.8339798687486344,2.4985922616421914,36.01876549523361
31.0,1.9850677037319855,-1.6626695008870431,-0.844405042157384,2.5893944577023693,37.26989941252654
32.0,2.0531417983077382,-1.7558673942689964,-0.8506011125158779,2.7015664993139312,38.53064619015508
33.0,2.1292949588052217,-1.761470534776807,-0.913489710304964,2.76345353977233,39.78135062929309
34.0,2.2340371525612106,-1.8080811733556406,-0.9329093795552124,2.8740354083530204,41.05972065285571
35.0,2.3318240550220715,-1.892040557436907,-0.9594721078422295,3.00286877744695,42.314999227344096
