method_id,metric_name,count,finite_count,finite_rate,evaluable_count,evaluable_rate,failure_count,failure_rate,non_null_count,mean,std,median,iqr,p10,p25,p75,p90,p95,p99,min,max,worst_run_id,worst_case_id,evaluator_version,source_table,source_table_row,source_sha256
A04,horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,9.465950683304529,12.267822747567319,3.2994091554262637,10.018222400200777,0.9775621103119363,1.4914202679108963,11.509642668111674,32.907613785319136,37.87620799045454,42.5040598328636,0.6473812046852944,43.02482706326789,ADD_RUN_00270,D61_30s_seed_06,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,12,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A04,up_rmse_m,45,45,1.0,45,1.0,0,0.0,45,1.083199114628235,1.2135414205371367,0.3860738702808772,1.2452580998301188,0.22512683457432017,0.320696583274554,1.565954683104673,2.5370509568811506,4.121838299680042,4.699437469074155,0.1398010616125488,4.950541335434389,ADD_RUN_00292,D61_30s_seed_08,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,13,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A04,yaw_rmse_deg,45,45,1.0,45,1.0,0,0.0,45,2.1167604736499013,0.06548571384557962,2.1160692811065633,0.018405726912540388,2.035055862004281,2.105548368235723,2.1239540951482634,2.215604558885317,2.2248891357023384,2.279109204518615,1.9331932603258957,2.3122254166213345,ADD_RUN_00204,D61_30s_seed_00,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,14,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A04,max_horizontal_error_in_window_m,45,45,1.0,45,1.0,0,0.0,45,72.43212971842743,88.4897245718059,23.667162071438735,76.11334738136455,9.552795816321527,14.9491761895292,91.06252357089375,245.47061286624162,256.8460642582257,309.5452143838306,5.841124782682449,321.0106003953626,ADD_RUN_00204,D61_30s_seed_00,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,15,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,fault_window_horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,34.29437764705298,40.00134568757672,15.854993235632428,28.847292190089245,4.183518898695286,8.467454201415482,37.31474639150473,95.08503130995017,131.89988083823192,152.11589160925996,0.9983832489929301,158.7566801165395,ADD_RUN_00282,D61_30s_seed_07,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,16,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,outage_end_horizontal_error_m,45,45,1.0,45,1.0,0,0.0,45,77.61713255980813,94.0037138244191,28.31952395824498,71.48709714729358,10.511498208118121,17.446915211001414,88.93401235829499,224.65622458130775,312.2529661168186,342.22020684822485,0.7922385994839202,342.4513897951936,ADD_RUN_00282,D61_30s_seed_07,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,17,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,post_window_horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,2.9546854694519746,4.291220000336292,1.1086545934121135,2.631265276160642,0.13943324539464944,0.516449170400042,3.147714446560684,8.328333789521716,9.356982483047942,18.684710826900677,0.0843870315778044,19.436515031633988,ADD_RUN_00271,D61_30s_seed_06,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,18,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,10.170033176896208,13.359269901100152,3.949723203992594,10.577592973998385,1.0030759453112992,1.589182581205815,12.1667755552042,29.38829249234783,41.01037398747723,52.168515888053754,0.22392477664171956,53.48741089893409,ADD_RUN_00282,D61_30s_seed_07,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,19,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,up_rmse_m,45,45,1.0,45,1.0,0,0.0,45,1.0352278273343813,1.1592572044595908,0.4495871002445582,1.12065291456141,0.2243285482236065,0.3324128339032641,1.453065748464674,2.3629885526788454,4.1841951042542895,4.33502937210453,0.10567958532556601,4.4011421844266,ADD_RUN_00293,D61_30s_seed_08,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,20,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,yaw_rmse_deg,45,45,1.0,45,1.0,0,0.0,45,2.1449410427145956,0.06557408735262674,2.1410920614045517,0.01172034185361115,2.07293812102241,2.132978563502077,2.144698905355688,2.2419947921383,2.264172561628271,2.321241766728837,1.9777570066831083,2.36137404752935,ADD_RUN_00205,D61_30s_seed_00,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,21,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A05,max_horizontal_error_in_window_m,45,45,1.0,45,1.0,0,0.0,45,78.29498164459665,93.67788644326757,31.038701788989684,71.2447116288428,11.29946995399353,17.6893007294522,88.93401235829499,224.65622458130775,312.2529661168186,342.22020684822485,1.6947656361782795,342.4513897951936,ADD_RUN_00282,D61_30s_seed_07,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,22,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A06,fault_window_horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,38.63706874124728,37.08385668755542,25.591233072833994,38.56756570496829,8.67213456724527,9.480993563318872,48.048559268287164,108.42174761293877,122.37662391705014,134.41264984006332,4.177600954649355,138.72842860520836,ADD_RUN_00206,D61_30s_seed_00,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,23,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A06,outage_end_horizontal_error_m,45,45,1.0,45,1.0,0,0.0,45,89.47793932190513,87.0523683925659,65.47076154820363,86.33343232552511,19.82011102474048,21.927508656921212,108.26094098244633,252.99534393983578,273.9352994948891,320.36802252137846,8.416217479929292,328.8009676820878,ADD_RUN_00206,D61_30s_seed_00,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,24,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A06,post_window_horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,3.3416859256279743,3.8237135872654964,1.4955949686797536,2.988449939273975,0.19959139443630117,0.7666001138988058,3.755050053172781,8.24712164179428,10.451810347119412,16.202686070818253,0.13533504518825562,17.604145789797883,ADD_RUN_00272,D61_30s_seed_06,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,25,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A06,horizontal_rmse_m,45,45,1.0,45,1.0,0,0.0,45,11.245417948499444,12.334447661607236,8.85872799640674,11.602250730939929,1.6042035491868847,1.898966557827356,13.501217288767284,34.0270532841502,40.62567016976139,44.24775249242583,0.8556488897566015,45.32386684443036,ADD_RUN_00272,D61_30s_seed_06,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,26,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
A06,up_rmse_m,45,45,1.0,45,1.0,0,0.0,45,1.0591196335875934,1.215925066583027,0.3745435018899778,1.123384704181197,0.16384112317643362,0.30566348228073487,1.429048186461932,2.4546651716207752,4.137995854112822,4.695468507412199,0.11319406098891557,4.892273659616722,ADD_RUN_00294,D61_30s_seed_08,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/UNIQUE_METHOD_SUMMARY.csv,27,28f14b31695e8bdec6c69968a45aa2e4b380ff11781eda644cc8bc514f114e3b
