comparison,metric_name,duration_s,seed_id,A1_delta,A2_delta,A2_minus_A1_delta,status,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_07,-3.193994277981764,-7.7454096807746895,-4.551415402792926,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,16,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_07,-6.702908812301679,-19.095076165044,-12.39216735274232,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,17,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,10,seed_08,5.978741801658188,3.9770304434428687,-2.0017113582153194,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,18,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,10,seed_08,13.932237276167632,7.330903228523715,-6.601334047643917,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,19,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_00,-4.501095165167889,-45.137447097069966,-40.63635193190208,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,20,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_00,-7.597106216571149,-118.26962991055453,-110.67252369398338,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,21,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_01,1.1524480639477872,-10.294898261498385,-11.447346325446173,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,22,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_01,2.4011449966997986,-28.306898951518,-30.7080439482178,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,23,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_02,2.522209668205484,-33.06242026847959,-35.584629936685076,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,24,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_02,5.874414374637723,-85.78378483648862,-91.65819921112634,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,25,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_03,2.328492899226063,-23.8080799879194,-26.136572887145462,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,26,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_03,-0.3421565692818689,-67.74079013121599,-67.39863356193412,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,27,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_04,-0.22271405179984072,-22.28675690984749,-22.06404285804765,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,28,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_04,-0.663035484500341,-66.1543198533814,-65.49128436888105,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,29,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_05,3.7245533171258813,-23.8238105831958,-27.548363900321682,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,30,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_05,3.439420334972837,-67.82841277481548,-71.26783310978831,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,31,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_06,-10.312684882378974,-48.806485171777034,-38.49380028939806,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,32,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_06,-23.24202700915305,-127.96383221891666,-104.72180520976362,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,33,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_07,-15.618314632011163,-50.09419965395415,-34.475885021942986,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,34,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_07,-30.66906102498288,-117.62621344156189,-86.957152416579,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,35,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,fault_window_horizontal_rmse_m,20,seed_08,18.415556881652876,3.58713480007877,-14.828422081574105,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,36,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_F03,outage_end_horizontal_error_m,20,seed_08,33.911876274418354,-6.258950129089779,-40.17082640350813,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,37,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_00,-0.5446258606008332,-4.67823968784187,-4.133613827241037,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,38,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_00,-1.1005070938181554,-13.402919753883383,-12.302412660065228,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,39,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_01,-0.0033808980136642575,-0.9716723098686972,-0.968291411855033,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,40,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_01,-0.009734929504359613,-2.869724430012287,-2.859989500507927,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,41,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_02,-0.3899117885040866,-5.298676969048136,-4.90876518054405,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,42,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_02,-0.8493988690476542,-15.30074513239743,-14.451346263349777,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,43,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_03,-0.6704906326272813,-3.8248462340914653,-3.154355601464184,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,44,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_03,-1.6107698560316202,-11.099248235524637,-9.488478379493017,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,45,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,fault_window_horizontal_rmse_m,10,seed_04,-0.1268636314610294,-2.3465426669619127,-2.2196790355008833,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,46,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
A04_vs_A06,outage_end_horizontal_error_m,10,seed_04,-0.29406544107705557,-7.697807946912405,-7.40374250583535,AVAILABLE,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_CASE_LEVEL.csv,47,acbb4b223ef7afb1a4d5590e0de10cd4351b7f2a6982dbce81a21de83d75d4dd
