batch,batch_status,measurement_scope,wall_seconds,nproc,solver_pool,evaluator_pool_sizes,available_memory_start_bytes,cpu_utilization_fraction,host_used_memory_peak_bytes,owned_process_tree_peak_rss_bytes,scratch_sampled_peak_growth_bytes,g_sampled_peak_growth_bytes,max_reserved_solver_plus_evaluators_fraction_of_available,memory_reservation_gate,sample_count,maximum_observed_sample_gap_seconds
1,PASS,completed batch,2079.1257006410005,24,22,22,23816892416,0.11849640346090072,6897106944,6288302080,28446859264,6332088320,0.674942377680989,PASS,598,13.37071288200059
2,PASS,completed batch,2114.7994708279984,24,22,22,24002736128,0.124906870416823,14183485440,13437378560,30615265280,6347030528,0.6694067759962139,PASS,608,13.39241893199869
3,PASS,completed batch,2133.0914860599987,24,22,22,22024740864,0.12362515894187115,16960389120,16249077760,30606417920,6347816960,0.7112068493711585,PASS,603,12.691839029999755
4,PASS,completed batch,2003.7816390460011,24,22,22,21524357120,0.12974353858649876,16092962816,15471624192,30374273024,6326059008,0.7443897752747021,PASS,531,13.74105141400105
5,PASS,completed batch,2033.922233039999,24,22,22,21412581376,0.12871352887412058,17825808384,17167241216,30475337728,6332088320,0.7450272653229976,PASS,537,13.647640128001512
6,PASS,completed batch,1631.4230295820016,24,22,22,21340442624,0.13253944006791032,17561554944,16931737600,23645843456,5227937792,0.742414692469177,PASS,481,12.718929639002454
7,PASS,completed batch,2036.727184381998,24,22,22,20811395072,0.12948346256318258,17045291008,16400093184,30351949824,6279135232,0.7477235059023675,PASS,545,13.569202099002723
8,STOPPED_GATE_FAILURE,through last resource sample; archive exception,1759.4263824409973,24,22,22,21041410048,0.1482153126229275,18485465088,17865486336,30509813760,6246367232,0.7377107579966677,PASS,403,13.195216143001744
