batch,status,run_count,completed,all_yaw_rejected,technical_failures,evaluator_records,wall_seconds,nproc,solver_pool,evaluator_pool_sizes,available_memory_start_bytes,cpu_utilization_fraction,host_used_memory_peak_bytes,owned_process_tree_peak_rss_bytes,scratch_peak_growth_bytes,g_peak_growth_bytes,retained_bytes,retained_allocated_bytes,cleaned_files,cleaned_bytes,code_commit
1,PASS,256,256,0,0,512,2079.1257006410005,24,22,22,23816892416,0.11849640346090072,6897106944,6288302080,28446859264,6332088320,3366158280,5743837184,11369,31099985587,737a0fb5a4a5418500824855b89b0d25af69824a
2,PASS,256,256,0,0,512,2114.7994708279984,24,22,22,24002736128,0.124906870416823,14183485440,13437378560,30615265280,6347030528,3314119749,5698486272,11404,30581798216,737a0fb5a4a5418500824855b89b0d25af69824a
3,PASS,256,256,0,0,512,2133.0914860599987,24,22,22,22024740864,0.12362515894187115,16960389120,16249077760,30606417920,6347816960,3313033475,5698748416,11405,30573635634,737a0fb5a4a5418500824855b89b0d25af69824a
4,PASS,256,256,0,0,512,2003.7816390460011,24,22,22,21524357120,0.12974353858649876,16092962816,15471624192,30374273024,6326059008,3289677539,5676728320,11403,30342381861,737a0fb5a4a5418500824855b89b0d25af69824a
5,PASS,256,256,0,0,512,2033.922233039999,24,22,22,21412581376,0.12871352887412058,17825808384,17167241216,30475337728,6332088320,3305589104,5672009728,11403,30440499370,737a0fb5a4a5418500824855b89b0d25af69824a
6,PASS,256,197,59,0,512,1631.4230295820016,24,22,22,21340442624,0.13253944006791032,17561554944,16931737600,23645843456,5227937792,2575939087,4627890176,9593,23617848939,737a0fb5a4a5418500824855b89b0d25af69824a
7,PASS,256,256,0,0,512,2036.727184381998,24,22,22,20811395072,0.12948346256318258,17045291008,16400093184,30351949824,6279135232,3235766274,5631115264,11404,30327707457,737a0fb5a4a5418500824855b89b0d25af69824a
