batch,status,result_path,run_count,completed,all_yaw_rejected,technical_failures,evaluator_records,archive_verified,archive_pending,wall_seconds,wall_scope,original_batch8_partial_wall_seconds,recovery_wall_seconds,nproc,solver_pool,evaluator_pool_sizes,archive_write_pool,available_memory_start_bytes,cpu_utilization_fraction,archive_cpu_utilization_fraction,archive_cpu_below_40_percent,host_used_memory_peak_bytes,owned_process_tree_peak_rss_bytes,scratch_peak_growth_bytes,g_peak_growth_bytes,cleaned_files,cleaned_bytes,scientific_code_commit,io_fix_code_commit,hash_wall_seconds,hash_cpu_seconds,compress_wall_seconds,compress_cpu_seconds,copy_wall_seconds,copy_cpu_seconds
1,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_001/BATCH_RESULT.json,256,256,0,0,512,256,0,2079.1257006410005,batch,,,24,22,22,UNAVAILABLE,23816892416,0.11849640346090072,0.01891956509167617,True,6897106944,6288302080,28446859264,6332088320,11369,31099985587,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
2,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_002/BATCH_RESULT.json,256,256,0,0,512,256,0,2114.7994708279984,batch,,,24,22,22,UNAVAILABLE,24002736128,0.124906870416823,0.0183934133612308,True,14183485440,13437378560,30615265280,6347030528,11404,30581798216,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
3,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_003/BATCH_RESULT.json,256,256,0,0,512,256,0,2133.0914860599987,batch,,,24,22,22,UNAVAILABLE,22024740864,0.12362515894187115,0.01781851126140362,True,16960389120,16249077760,30606417920,6347816960,11405,30573635634,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
4,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_004/BATCH_RESULT.json,256,256,0,0,512,256,0,2003.7816390460011,batch,,,24,22,22,UNAVAILABLE,21524357120,0.12974353858649876,0.020355073583688273,True,16092962816,15471624192,30374273024,6326059008,11403,30342381861,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
5,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_005/BATCH_RESULT.json,256,256,0,0,512,256,0,2033.922233039999,batch,,,24,22,22,UNAVAILABLE,21412581376,0.12871352887412058,0.02031683752299989,True,17825808384,17167241216,30475337728,6332088320,11403,30440499370,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
6,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_006/BATCH_RESULT.json,256,197,59,0,512,256,0,1631.4230295820016,batch,,,24,22,22,UNAVAILABLE,21340442624,0.13253944006791032,0.02132357091383545,True,17561554944,16931737600,23645843456,5227937792,9593,23617848939,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
7,PASS,<CANONICAL541_V2_ROOT>/BATCHES/BATCH_007/BATCH_RESULT.json,256,256,0,0,512,256,0,2036.727184381998,batch,,,24,22,22,UNAVAILABLE,20811395072,0.12948346256318258,0.020934095725262405,True,17045291008,16400093184,30351949824,6279135232,11404,30327707457,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
8,PASS,<CANONICAL541_V2_ROOT>/IO_RECOVERY/IO_RECOVERY_20260912/BATCH_008_RECOVERY/BATCH_RESULT.json,256,256,0,0,512,256,0,433.67627953199553,recovery_only,1759.469879,433.67627953199553,24,REUSED,22,6,24001458176,0.005961365047808206,0.005962133099501569,True,1230815232,146178048,13615104,340262912,11443,30482617272,737a0fb5a4a5418500824855b89b0d25af69824a,ea478eea88aaf9739823dfc152fa108dd17f8d0c,0.09641527099302039,0.08989322599999999,0.13937638102652272,0.151263769,1.3821960010027396,0.04859499099999981
