dataset_id,case_family,degradation_type_id,method_id,terminal_status,run_count
BY2,dual_yaw,D39,A07,NOT_STARTED,9
BY2,dual_yaw,D39,A08,NOT_STARTED,9
BY2,dual_yaw,D39,A09,NOT_STARTED,9
BY2,dual_yaw,D39,F01,NOT_STARTED,9
BY2,dual_yaw,D39,F02,NOT_STARTED,9
BY2,dual_yaw,D39,F03,NOT_STARTED,9
BY2,dual_yaw,D39,F04,NOT_STARTED,9
BY2,dual_yaw,D40,A03,NOT_STARTED,9
BY2,dual_yaw,D40,A04,NOT_STARTED,9
BY2,dual_yaw,D40,A05,NOT_STARTED,9
BY2,dual_yaw,D40,A06,NOT_STARTED,9
BY2,dual_yaw,D40,A07,NOT_STARTED,9
BY2,dual_yaw,D40,A08,NOT_STARTED,9
BY2,dual_yaw,D40,A09,NOT_STARTED,9
BY2,dual_yaw,D40,F01,NOT_STARTED,9
BY2,dual_yaw,D40,F02,NOT_STARTED,9
BY2,dual_yaw,D40,F03,NOT_STARTED,9
BY2,dual_yaw,D40,F04,NOT_STARTED,9
BY2,dual_yaw,D41,A03,NOT_STARTED,9
BY2,dual_yaw,D41,A04,NOT_STARTED,9
BY2,dual_yaw,D41,A05,NOT_STARTED,9
BY2,dual_yaw,D41,A06,NOT_STARTED,9
BY2,dual_yaw,D41,A07,NOT_STARTED,9
BY2,dual_yaw,D41,A08,NOT_STARTED,9
BY2,dual_yaw,D41,A09,NOT_STARTED,9
BY2,dual_yaw,D41,F01,NOT_STARTED,9
BY2,dual_yaw,D41,F02,NOT_STARTED,9
BY2,dual_yaw,D41,F03,NOT_STARTED,9
BY2,dual_yaw,D41,F04,NOT_STARTED,9
BY2,gnss_outage,D01,A03,NOT_STARTED,9
BY2,gnss_outage,D01,A04,NOT_STARTED,9
BY2,gnss_outage,D01,A05,NOT_STARTED,9
BY2,gnss_outage,D01,A06,NOT_STARTED,9
BY2,gnss_outage,D01,A07,NOT_STARTED,9
BY2,gnss_outage,D01,A08,NOT_STARTED,9
BY2,gnss_outage,D01,A09,NOT_STARTED,9
BY2,gnss_outage,D01,F01,NOT_STARTED,9
BY2,gnss_outage,D01,F02,NOT_STARTED,9
BY2,gnss_outage,D01,F03,NOT_STARTED,9
BY2,gnss_outage,D01,F04,NOT_STARTED,9
BY2,gnss_outage,D02,A03,NOT_STARTED,9
BY2,gnss_outage,D02,A04,NOT_STARTED,9
BY2,gnss_outage,D02,A05,NOT_STARTED,9
BY2,gnss_outage,D02,A06,NOT_STARTED,9
BY2,gnss_outage,D02,A07,NOT_STARTED,9
BY2,gnss_outage,D02,A08,NOT_STARTED,9
BY2,gnss_outage,D02,A09,NOT_STARTED,9
BY2,gnss_outage,D02,F01,NOT_STARTED,9
BY2,gnss_outage,D02,F02,NOT_STARTED,9
BY2,gnss_outage,D02,F03,NOT_STARTED,9
BY2,gnss_outage,D02,F04,NOT_STARTED,9
BY2,gnss_outage,D03,A03,NOT_STARTED,9
BY2,gnss_outage,D03,A04,NOT_STARTED,9
BY2,gnss_outage,D03,A05,NOT_STARTED,9
BY2,gnss_outage,D03,A06,NOT_STARTED,9
BY2,gnss_outage,D03,A07,NOT_STARTED,9
BY2,gnss_outage,D03,A08,NOT_STARTED,9
BY2,gnss_outage,D03,A09,NOT_STARTED,9
BY2,gnss_outage,D03,F01,NOT_STARTED,9
BY2,gnss_outage,D03,F02,NOT_STARTED,9
BY2,gnss_outage,D03,F03,NOT_STARTED,9
BY2,gnss_outage,D03,F04,NOT_STARTED,9
BY2,gnss_outage,D04,A03,NOT_STARTED,9
BY2,gnss_outage,D04,A04,NOT_STARTED,9
BY2,gnss_outage,D04,A05,NOT_STARTED,9
BY2,gnss_outage,D04,A06,NOT_STARTED,9
BY2,gnss_outage,D04,A07,NOT_STARTED,9
BY2,gnss_outage,D04,A08,NOT_STARTED,9
BY2,gnss_outage,D04,A09,NOT_STARTED,9
BY2,gnss_outage,D04,F01,NOT_STARTED,9
BY2,gnss_outage,D04,F02,NOT_STARTED,9
BY2,gnss_outage,D04,F03,NOT_STARTED,9
BY2,gnss_outage,D04,F04,NOT_STARTED,9
BY2,gnss_outage,D05,A03,NOT_STARTED,9
BY2,gnss_outage,D05,A04,NOT_STARTED,9
BY2,gnss_outage,D05,A05,NOT_STARTED,9
BY2,gnss_outage,D05,A06,NOT_STARTED,9
BY2,gnss_outage,D05,A07,NOT_STARTED,9
BY2,gnss_outage,D05,A08,NOT_STARTED,9
BY2,gnss_outage,D05,A09,NOT_STARTED,9
BY2,gnss_outage,D05,F01,NOT_STARTED,9
BY2,gnss_outage,D05,F02,NOT_STARTED,9
BY2,gnss_outage,D05,F03,NOT_STARTED,9
BY2,gnss_outage,D05,F04,NOT_STARTED,9
BY2,gnss_outage,D06,A03,NOT_STARTED,9
BY2,gnss_outage,D06,A04,NOT_STARTED,9
BY2,gnss_outage,D06,A05,NOT_STARTED,9
BY2,gnss_outage,D06,A06,NOT_STARTED,9
BY2,gnss_outage,D06,A07,NOT_STARTED,9
BY2,gnss_outage,D06,A08,NOT_STARTED,9
BY2,gnss_outage,D06,A09,NOT_STARTED,9
BY2,gnss_outage,D06,F01,NOT_STARTED,9
BY2,gnss_outage,D06,F02,NOT_STARTED,9
BY2,gnss_outage,D06,F03,NOT_STARTED,9
BY2,gnss_outage,D06,F04,NOT_STARTED,9
BY2,gnss_outage,D07,A03,NOT_STARTED,9
BY2,gnss_outage,D07,A04,NOT_STARTED,9
BY2,gnss_outage,D07,A05,NOT_STARTED,9
BY2,gnss_outage,D07,A06,NOT_STARTED,9
BY2,gnss_outage,D07,A07,NOT_STARTED,9
BY2,gnss_outage,D07,A08,NOT_STARTED,9
BY2,gnss_outage,D07,A09,NOT_STARTED,9
BY2,gnss_outage,D07,F01,NOT_STARTED,9
BY2,gnss_outage,D07,F02,NOT_STARTED,9
BY2,gnss_outage,D07,F03,NOT_STARTED,9
BY2,gnss_outage,D07,F04,NOT_STARTED,9
BY2,gnss_sampling,D08,A03,NOT_STARTED,9
BY2,gnss_sampling,D08,A04,NOT_STARTED,9
BY2,gnss_sampling,D08,A05,NOT_STARTED,9
BY2,gnss_sampling,D08,A06,NOT_STARTED,9
BY2,gnss_sampling,D08,A07,NOT_STARTED,9
BY2,gnss_sampling,D08,A08,NOT_STARTED,9
