hypothesis,comparison,metric_name,finite_count,median_delta,median_10s,median_20s,median_30s,benefit,duration_trend,complete,evaluator_version,source_table,source_table_row,source_sha256
H1,F04_vs_A07,outage_end_horizontal_error_m,27,0.9790416289509647,0.8264908491199421,2.0497578125808857,4.687861014025117,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,17,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,F04_vs_A08,fault_window_horizontal_rmse_m,27,0.777929046824207,0.44989028151258115,0.9701623164959372,2.0724283143047444,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,18,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,F04_vs_A08,outage_end_horizontal_error_m,27,0.9690826677554005,0.8257412204714321,2.0064331820234145,4.672950029966302,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,19,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,F04_vs_A09,fault_window_horizontal_rmse_m,27,0.5166189173202209,0.4578512106356687,1.0100789936673351,2.3889913531256184,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,20,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,F04_vs_A09,outage_end_horizontal_error_m,27,0.9867961732838157,0.7549659143305298,2.0975358232212713,5.317520457190994,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,21,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_F03,fault_window_horizontal_rmse_m,27,0.722430651276591,0.45972838775156344,1.0307822031600864,2.1535511458324663,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,22,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_F03,outage_end_horizontal_error_m,27,0.9907806211577785,0.8377279582436081,2.139442942811243,4.865100836235371,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,23,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A06,fault_window_horizontal_rmse_m,27,0.03357216160308951,0.04035129665026993,0.06968225931404248,0.028227855942446922,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,24,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A06,outage_end_horizontal_error_m,27,0.06984928879836616,0.07605835874138478,0.12184517104147119,0.05108988823769778,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,25,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
H1,A03_vs_A07,fault_window_horizontal_rmse_m,27,0.8226755619221233,0.45589055062924366,1.0092962338505345,1.844026997659384,False,False,True,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_COMPONENT_DECISIONS.csv,26,7d9b8074917c67414c7ee2173ac069f0207b229641844ff280d0c06145a1f0dd
