comparison,metric_name,duration_s,registered_count,complete,paired_sample_count,mean_delta_candidate_minus_reference,median_delta_candidate_minus_reference,std_delta,p10_delta,p90_delta,mean_ci95_low,mean_ci95_high,median_ci95_low,median_ci95_high,wilcoxon_p,wilcoxon_zero_policy,wilcoxon_approximation,win_count,tie_count,loss_count,win_rate,bootstrap_n,bootstrap_seed,bootstrap_policy,delta_definition,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_A06,outage_end_horizontal_error_m,20,9,True,9,-67.80941998579912,-66.76194214270805,21.643402183414036,-93.53032518034676,-39.024464887056446,-81.41268109181735,-53.26018923133414,-92.10213057846022,-41.662380181807784,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,13,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,fault_window_horizontal_rmse_m,ALL,18,True,18,-15.636406078872291,-8.340214508085488,14.110485473117542,-36.45740214451902,-2.298548069018432,-22.26187512152641,-9.455320292504592,-26.844656385268237,-3.896618434215584,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,14,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,fault_window_horizontal_rmse_m,10,9,True,9,-3.3592274542168643,-3.241419628830899,1.2877244384081414,-4.705839114088466,-1.817184463858614,-4.170661408594878,-2.50368361508076,-4.574279762404949,-2.0038178708056122,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,15,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,fault_window_horizontal_rmse_m,20,9,True,9,-27.91358470352772,-27.55065492615295,9.751673516963974,-38.923225901844695,-14.148111504070936,-34.07408576346717,-21.34788561860234,-38.492941585668,-14.82305125625156,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,16,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,outage_end_horizontal_error_m,ALL,18,True,18,-42.21266361289376,-23.020663954727944,36.97262335333196,-95.57800259489822,-7.589352933953628,-59.592631792371726,-25.976823439746934,-69.34051369800301,-11.143038440856449,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,17,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,outage_end_horizontal_error_m,10,9,True,9,-10.086542734551626,-9.763236852431074,3.5928125952656202,-13.936962764866408,-5.904593403493003,-12.316131018621189,-7.6697413911576895,-13.58846806474507,-6.593205470017828,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,18,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A07,outage_end_horizontal_error_m,20,9,True,9,-74.33878449123591,-71.2740046140272,25.629400452025696,-105.91445686008447,-38.2583145198778,-90.42511999496112,-57.17086395251433,-104.72096155862252,-40.14529656382122,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,19,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,fault_window_horizontal_rmse_m,ALL,18,True,18,-15.63580477794483,-8.34006985990933,14.109724013014233,-36.45719437506534,-2.2979286303446393,-22.262098172289082,-9.45487415496419,-26.842923980026494,-3.89629652166253,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,20,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,fault_window_horizontal_rmse_m,10,9,True,9,-3.35868320211352,-3.241244419237823,1.287820703748048,-4.704950440828099,-1.8154405834678633,-4.169989921194619,-2.502981312418488,-4.573174165387085,-2.00163963321462,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,21,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,fault_window_horizontal_rmse_m,20,9,True,9,-27.912926353776143,-27.54888356631983,9.74960065368697,-38.92225543979345,-14.153319605563988,-34.07156559250964,-21.347707852178427,-38.49388074318235,-14.82962846264836,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,22,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,outage_end_horizontal_error_m,ALL,18,True,18,-42.21289871016225,-23.020417715922875,36.970122064676886,-95.57674541731136,-7.592064953029001,-59.589417550407234,-25.97607514050486,-69.33439691542915,-11.142666683559064,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,23,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,outage_end_horizontal_error_m,10,9,True,9,-10.086875050279218,-9.762978339438703,3.591580550368899,-13.935196573835679,-5.911373950331109,-12.314929749013638,-7.671084974902412,-13.586228527701993,-6.601694011859161,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,24,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A08,outage_end_horizontal_error_m,20,9,True,9,-74.33892237004528,-71.26928124212597,25.622599550274,-105.91180449313288,-38.282908761429034,-90.42692351580843,-57.17024612982041,-104.7220508518059,-40.17619428341746,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,25,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A09,fault_window_horizontal_rmse_m,ALL,18,True,18,-15.636898548949537,-8.33989315145611,14.110660835935949,-36.45762278624894,-2.298049006334182,-22.26413874067104,-9.455761079494446,-26.844480036420613,-3.8965807235691767,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,26,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A09,fault_window_horizontal_rmse_m,10,9,True,9,-3.3590114991383047,-3.2413147252626775,1.2879368984075663,-4.705887430347167,-1.815788319369953,-4.170460596982107,-2.5032888707036927,-4.574338095913932,-2.0020731821235493,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,27,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A09,fault_window_horizontal_rmse_m,20,9,True,9,-27.91478559876076,-27.55039773549359,9.750369028068063,-38.92342716544824,-14.156439830753104,-34.07425304039605,-21.348856913463266,-38.49307987527903,-14.833624404733353,0.00390625,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,9,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,28,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
A04_vs_A09,outage_end_horizontal_error_m,ALL,18,True,18,-42.21546707718709,-23.019913019526495,36.972421908664174,-95.57844954344753,-7.591575531645942,-59.593560008795535,-25.97716700637627,-69.3400098568143,-11.142797601736744,7.62939453125e-06,wilcox; abs(delta)>1e-12,exact conditional signs with ties for n_nonzero<=20; frozen normal approximation otherwise,18,0,0,1.0,10000,20260904,paired cases; percentile 95%; default_rng PCG64; mean and median explicitly separated,candidate_minus_reference; negative_is_better,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H2_MATCHED_FAMILY_SUMMARY.csv,29,4e3e9fe9eab945ff0206cd25b84199ad4606dbb9fa147ef7019c57dae9fb3e48
