comparison,candidate_method_id,reference_method_id,metric_name,case_id,degradation_id,case_family,seed_id,candidate_value,reference_value,delta_candidate_minus_reference,relative_change_percent,candidate_better,tie,evaluator_version,source_table,source_table_row,source_sha256
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_06,D61,A1,seed_06,11.496445422811789,14.621138248990514,-3.124692826178725,-21.37106409204812,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,14,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_06,D61,A1,seed_06,26.309490658887867,33.30701120885702,-6.997520549969153,-21.009151815184087,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,15,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_07,D61,A1,seed_07,9.543520766295908,12.737515044277671,-3.193994277981764,-25.075489739395174,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,16,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_07,D61,A1,seed_07,21.70875500947943,28.411663821781108,-6.702908812301679,-23.59210236453332,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,17,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_10s_seed_08,D61,A1,seed_08,7.13365061793073,1.1549088162725416,5.978741801658188,517.680852151993,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,18,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_10s_seed_08,D61,A1,seed_08,15.352123210144605,1.419885933976973,13.932237276167632,981.22228995851,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,19,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_00,D61,A1,seed_00,57.71313532278847,62.21423048795636,-4.501095165167889,-7.2348321756374165,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,20,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_00,D61,A1,seed_00,133.85622495267083,141.45333116924198,-7.597106216571149,-5.370751012912932,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,21,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_01,D61,A1,seed_01,19.10171770058395,17.949269636636163,1.1524480639477872,6.420584721706622,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,22,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_01,D61,A1,seed_01,41.9644003180093,39.5632553213095,2.4011449966997986,6.069128986477758,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,23,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_02,D61,A1,seed_02,39.24682063825557,36.72461097005009,2.522209668205484,6.867900303320883,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,24,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_02,D61,A1,seed_02,95.19479378977005,89.32037941513232,5.874414374637723,6.5767906642395015,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,25,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_03,D61,A1,seed_03,39.71970851386878,37.39121561464272,2.328492899226063,6.227379508662472,False,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,26,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,outage_end_horizontal_error_m,D61_20s_seed_03,D61,A1,seed_03,88.57244492494532,88.91460149422718,-0.3421565692818689,-0.38481482628484087,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,27,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
A04_vs_F03,A04,F03,fault_window_horizontal_rmse_m,D61_20s_seed_04,D61,A1,seed_04,35.116191672279214,35.338905724079055,-0.22271405179984072,-0.6302233961027516,True,False,v3,<ADDENDUM_ROOT>/13_AGGREGATE_ADDENDUM/v3/H1_CROSS_GROUP_PAIRWISE_CASE_LEVEL.csv,28,16bc0160b3d5ee828963ab679057445bfad1aa74447c631bdf36bb1b1fd64e54
