elapsed_s,t_rel_s,err_n_m,err_e_m,err_u_m,yaw_error_ned_wrapped_deg,yaw_error_ned_unwrapped_deg,reference_yaw_increment_ned_deg,reference_path_m
0.0,3186.0,0.5810885023397945,0.15977549156003956,0.40083979809543724,11.17143327824246,11.171433278242462,-0.0,0.0
1.0,3187.0,0.5597187392849949,0.1997265940903027,0.37286329877686597,10.298755774127045,10.298755774127045,1.114201681682431,0.3026506222667813
2.0,3188.0,0.4642190103007803,0.2598401637156765,0.3159579247497949,6.74520389374851,6.745203893748511,2.0362897243062292,1.004426773124875
3.0,3189.0,0.35214584118682213,0.23644942302268662,0.23521520660966094,2.1025747933435355,2.1025747933435355,-2.152882388669724,2.011775268977539
4.0,3190.0,0.2003051130059741,0.15720643022295108,0.11241777999612446,-1.5503013388292857,-1.5503013388292857,-1.2684279697481458,3.162176538843661
5.0,3191.0,0.022754374089352325,-0.007298888260320213,-0.035602816324353914,-4.4032452167001,-4.4032452167001,0.7004267208245949,4.356025086776639
6.0,3192.0,-0.19951570117322603,-0.12416623278598388,-0.11363883098094224,-5.6523082810198275,-5.6523082810198275,1.4267944045965066,5.614274066277043
7.0,3193.0,-0.3106164831578724,-0.3536232043042077,-0.21661745496036028,-7.408467806065374,-7.408467806065374,3.1549431696464723,6.749925588293067
8.0,3194.0,-0.4810550704749783,-0.5559369587170285,-0.2778406249379618,-9.84029376461774,-9.84029376461774,-3.966879559314762,7.922316271014142
9.0,3195.0,-0.6250112690664693,-0.2082289042897877,-0.37314609205056276,-5.694480091297805,-5.694480091297805,-29.727464392237223,8.945748437673387
10.0,3196.0,-0.6285632858762789,0.8862048249399124,-0.4732085475350478,2.1601146903332165,2.1601146903332165,-28.796465786685687,10.002676463142267
11.0,3197.0,-0.7179836687078502,2.882610882025315,-0.5218229303642772,13.439547295236878,13.439547295236878,-47.925871355672626,11.142540450828568
12.0,3198.0,-0.8950295727447806,5.232677894525818,-0.5499247696252925,27.50811578076454,27.50811578076454,-73.8514700841487,12.287107047691988
13.0,3199.0,-0.8010305989716358,7.091506430131295,-0.6222130863967636,37.571615242743434,37.571615242743434,-86.73598638258036,13.427787697962358
14.0,3200.0,-0.3682087785988273,8.374476125998848,-0.6037744631194766,44.25652749744046,44.25652749744046,-86.60169529644406,14.645625558752197
15.0,3201.0,0.2957237675158044,8.974006913899418,-0.5723349855477855,45.04090625707488,45.04090625707488,-85.59919989321261,15.888890888726419
16.0,3202.0,1.0991617106956113,8.289677977718988,-0.546663906324,40.69371490286878,40.69371490286878,-90.72170902426811,17.0228594720332
17.0,3203.0,1.428440852335937,6.139849519031783,-0.6091140960758703,26.85654659795236,26.85654659795236,-85.25069965368525,18.15731513775432
18.0,3204.0,0.4711807311389631,3.635140461762525,-0.6358667242098912,11.571645274334514,11.571645274334514,-86.88387004291184,19.385710496688077
19.0,3205.0,-0.5627528722835748,2.3832295098293788,-0.5819024749275052,2.908834910596937,2.908834910596937,-86.89707758025102,20.646649654968318
20.0,3206.0,-1.2962841122574051,1.9406969660150022,-0.5917489873479271,-1.663424558993455,-1.663424558993455,-86.13431923943838,21.898104988374207
21.0,3207.0,-2.0558571490343844,1.5784141797213493,-0.617459745980355,-6.231909967418687,-6.231909967418687,-86.71896690315987,23.135354507682546
22.0,3208.0,-1.4790914220153901,2.1242622528414667,-0.6564105602045207,-3.2542526588716782,-3.2542526588716782,-86.98809634715872,24.395210750081954
23.0,3209.0,1.5316882143779154,4.507759381646762,-0.6497810214558901,10.551831325104843,10.551831325104843,-92.36828124629011,25.628737312025276
24.0,3210.0,5.961425104718561,10.084776831751205,-0.6252261953193492,35.39217148377779,35.39217148377779,-93.8553578284224,26.823394681911623
25.0,3211.0,8.527473364267916,19.161166124494883,-0.6707094088139829,66.34700378871094,66.34700378871094,-93.44629928810846,28.063102255412296
26.0,3212.0,8.411079217071597,25.793283620744354,-0.6978443033538215,86.41810317113323,86.41810317113323,-92.71403977207643,29.312300534653453
27.0,3213.0,8.437638409361462,29.60201867892878,-0.7658786665880839,96.01375934776615,96.01375934776615,-90.79291714956261,30.597376130725554
28.0,3214.0,9.155506399425919,31.56394694944423,-0.7534495997701098,98.81090662191025,98.81090662191025,-93.13268636614902,31.82279368225872
29.0,3215.0,10.312617589697844,32.90456845018131,-0.785213647610278,101.51848653797379,101.51848653797379,-90.55492134984513,33.035829426260904
30.0,3216.0,11.590034279427694,33.81761123580264,-0.7917098822839954,99.44469663728137,99.44469663728137,-88.46408902272879,34.250239279031895
31.0,3217.0,13.149874658269319,34.19662928205835,-0.8005780905661568,98.06894469765399,98.06894469765399,-92.50116246509671,35.47084584683734
32.0,3218.0,14.81689692324402,34.04022688743199,-0.879256822920969,94.59190832065838,94.59190832065838,-91.22978443601664,36.685439967656976
33.0,3219.0,16.393499651777784,33.49713536001764,-0.8894135396313572,90.66528976156593,90.66528976156593,-90.51112372745783,37.93864110929067
34.0,3220.0,17.79774274054974,32.64462781301691,-0.9017504524555024,85.93966292398602,85.93966292398602,-88.66170413819279,39.20401337916674
35.0,3221.0,19.095866984643074,31.8921080780966,-0.9648073944088038,81.82713703001639,81.82713703001639,-88.39529755283894,40.4285387754289
36.0,3222.0,20.214243923201536,31.838004007451804,-0.9697858090223364,78.92943724923776,78.92943724923776,-88.06425289267801,41.733060651302104
37.0,3223.0,21.235457352308995,31.683713922932412,-0.9873072563836478,76.99101132644853,76.99101132644853,-89.30956391715787,42.98289372068973
38.0,3224.0,22.26539155637237,31.540605797859353,-1.0795492317974835,75.70932912227272,75.70932912227272,-89.68145941617334,44.209590719886485
39.0,3225.0,23.19893247283874,31.60825081132081,-1.0179227149360466,73.94799036933927,73.94799036933927,-91.93759464069828,45.47742375055067
40.0,3226.0,24.13606903718035,31.72653394793401,-0.9951172927261462,74.29539587448332,74.29539587448332,-94.71787603570587,46.69232844402053
41.0,3227.0,25.172698962384317,32.193881114859224,-0.9905648916813046,74.53633891508514,74.53633891508514,-93.94128754431858,47.92911923279769
42.0,3228.0,26.251615792436752,32.90205888296427,-0.9862235551760103,74.98794770790937,74.98794770790937,-92.63308822339465,49.2089107943296
43.0,3229.0,27.228076665391303,33.192278855880375,-0.9830490492668162,74.95084879777784,74.95084879777784,-91.89052954992755,50.46469629701581
44.0,3230.0,28.164488869016942,33.44946313424329,-0.9594722072000141,74.45417879429948,74.45417879429948,-90.76851229366056,51.69230388055582
45.0,3231.0,28.995352952044673,33.573068533549645,-0.9294310991417514,73.07819746640718,73.07819746640718,-88.87659056908208,52.92766030570951
46.0,3232.0,29.630823575944042,33.20099757979207,-0.9410508212777506,70.98501111682012,70.98501111682012,-88.7342595563033,54.207453205775806
47.0,3233.0,29.948398050182327,32.08653791378127,-0.9276818505470996,67.80575708849108,67.80575708849108,-88.07339207976023,55.436835512593525
48.0,3234.0,29.70303615163415,30.265402042050766,-0.9023581070660389,63.55544395387881,63.55544395387881,-86.86119964840358,56.68509433730278
49.0,3235.0,29.361785253702628,28.64086525163681,-0.9127656346559592,59.45037460916055,59.450374609160555,-84.67053613417232,57.91701014052314
50.0,3236.0,27.577617335980626,25.335229675970236,-0.9621093723811427,51.65000244765804,51.65000244765804,-83.74434667099842,59.21371112468909
51.0,3237.0,24.04317860311603,21.155081603499937,-0.9622146398316302,42.38752606430489,42.38752606430489,-85.49479122786431,60.470352365469914
52.0,3238.0,18.64488405297943,17.00234210121704,-1.0098237475733824,31.0648988231126,31.064898823112603,-85.20807687578795,61.70792982378003
53.0,3239.0,12.24684196929812,13.992225972248704,-1.071218668051794,20.789786184529845,20.789786184529845,-86.69024819499896,62.98408273669012
54.0,3240.0,7.166703953855325,12.624228348737155,-1.0871849758742538,13.547974410122634,13.547974410122634,-87.74452311204536,64.25327066320702
55.0,3241.0,13.540344946926496,15.183693445233374,-0.9832658025929464,25.053191057137497,25.053191057137497,-88.43793461518678,65.49408869106735
56.0,3242.0,14.212769090545287,15.459651497949146,-1.089262733841697,25.154650149813563,25.154650149813563,-96.9150882665019,66.7588499114285
57.0,3243.0,14.602817156228392,15.632791916969964,-1.0462104951192683,27.044304309939065,27.044304309939065,-91.89119673191314,67.97577383617093
