elapsed_s,t_rel_s,err_n_m,err_e_m,err_u_m,yaw_error_ned_wrapped_deg,yaw_error_ned_unwrapped_deg,reference_yaw_increment_ned_deg,reference_path_m
0.0,3186.0,0.5758653480104894,-0.11923831612331369,0.12090020079754155,1.0940990594345976,1.0940990594345976,-0.0,0.0
1.0,3187.0,0.5505585237422426,-0.11103626000874406,0.08740980661558329,0.39576682807597763,0.39576682807597763,1.114201681682431,0.3026506222667813
2.0,3188.0,0.45427480166188594,-0.10022620883075699,0.07009956224949179,-1.297238259078398,-1.2972382590783982,2.0362897243062292,1.004426773124875
3.0,3189.0,0.34188391307905786,-0.10627586607009795,0.07771883255782533,-1.5419049954846002,-1.5419049954846005,-2.152882388669724,2.011775268977539
4.0,3190.0,0.1930578285913822,-0.06521982793336463,0.04239458339286653,-1.258882182518164,-1.258882182518164,-1.2684279697481458,3.162176538843661
5.0,3191.0,0.028127087521514937,-0.04790920178266628,-0.029584121985601952,-1.2150213192799129,-1.2150213192799129,0.7004267208245949,4.356025086776639
6.0,3192.0,-0.1991989959434921,-0.12442459812504192,-0.04638979882105804,-2.486399233571973,-2.486399233571973,1.4267944045965066,5.614274066277043
7.0,3193.0,-0.3024297126755151,-0.12914433126369068,-0.08089389524232954,-2.436610931788266,-2.4366109317882665,3.1549431696464723,6.749925588293067
8.0,3194.0,-0.4684471287054581,-0.050762671925724576,-0.05912690453139108,-3.0323772357708094,-3.0323772357708094,-3.966879559314762,7.922316271014142
9.0,3195.0,-0.6060242276181391,0.43435986770153434,-0.0782377364002565,1.7238574736871328,1.723857473687133,-29.727464392237223,8.945748437673387
10.0,3196.0,-0.6417332825805282,0.9383325525009734,-0.10772873345913897,4.867380554301633,4.867380554301633,-28.796465786685687,10.002676463142267
11.0,3197.0,-0.6961301426939013,1.457176242152483,-0.09609172181060466,6.422787200847182,6.422787200847182,-47.925871355672626,11.142540450828568
12.0,3198.0,-0.6943979481667988,1.8185178005719926,-0.08931691156026139,8.397184985658669,8.39718498565867,-73.8514700841487,12.287107047691988
13.0,3199.0,-0.5951902737978365,1.8928108608799215,-0.13514733915272376,8.10478922654562,8.10478922654562,-86.73598638258036,13.427787697962358
14.0,3200.0,-0.4789326145106738,1.9410203836266406,-0.10162545746069107,8.602409596650801,8.602409596650801,-86.60169529644406,14.645625558752197
