evaluator,metric,total_cases,frozen_finite,R5_finite,paired_finite,frozen_nonfinite,R5_nonfinite,R5_failed_on_frozen_completed
v3,yaw_rmse_deg,61,60,58,57,1,3,3
v3,h_rmse_m,61,60,58,57,1,3,3
v2,yaw_rmse_deg,61,60,58,57,1,3,3
v2,h_rmse_m,61,60,58,57,1,3,3
