batch,run_count,ledger_status,verification,disposition,reason
BATCH_001,64,PRESENT,PASS,REUSE,
BATCH_002,64,PRESENT,PASS,REUSE,
BATCH_003,64,PRESENT,PASS,REUSE,
BATCH_004,64,PRESENT,PASS,REUSE,
BATCH_005,64,PRESENT,PASS,REUSE,
BATCH_006,64,PRESENT,PASS,REUSE,
BATCH_007,64,PRESENT,PASS,REUSE,
BATCH_008,64,PRESENT,PASS,REUSE,
BATCH_009,64,MISSING_OR_INCOMPLETE,FAIL,RERUN_ENTIRE_BATCH,[Errno 2] No such file or directory: '<PROTOCOL_V3_SCRATCH>/BATCHES/BATCH_009/RUN_RECORDS.json'
