evaluator,variant,sequence_count,yaw_rmse_sum_deg,improvement_from_R5_deg,reaches_0p3_deg
v3,T5A_R5,3,6.2538569227651107,0E-16,False
v3,R5SIGMA,3,6.1442162463454558,0.1096406764196549,False
v3,R5W,3,6.1050993524129546,0.1487575703521561,False
v2,T5A_R5,3,6.2538569227651107,0E-16,False
v2,R5SIGMA,3,6.1442162463454558,0.1096406764196549,False
v2,R5W,3,6.1050993524129546,0.1487575703521561,False
