evaluator,case_id,frozen_status,frozen_terminal,frozen_yaw_rmse_deg,frozen_h_rmse_m,R5_status,R5_failure_classification,R5_yaw_rmse_deg,R5_h_rmse_m,paired_finite,R5_failed_on_frozen_completed
v3,C00_clean_normal,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D01_seed_00,COMPLETED,COMPLETED,2.2204166357290993,0.09715469823426665,COMPLETED,NONE,1.8861127928167332,0.09789914597438494,True,False
v3,D02_seed_00,COMPLETED,COMPLETED,2.220200465755946,0.09724357316433221,COMPLETED,NONE,1.8860605036989933,0.09798551384316326,True,False
v3,D03_seed_00,COMPLETED,COMPLETED,2.2183380534760104,0.0990044630201418,COMPLETED,NONE,1.8856344886911545,0.09973670699924785,True,False
v3,D04_seed_00,COMPLETED,COMPLETED,2.2173333387506164,0.12933921395436068,COMPLETED,NONE,1.8853912064521476,0.12992729711202186,True,False
v3,D05_seed_00,COMPLETED,COMPLETED,2.2147274946785167,0.13496251108705842,COMPLETED,NONE,1.8844284840270382,0.11134628180222282,True,False
v3,D06_seed_00,COMPLETED,COMPLETED,2.308625338895833,14.892009618229114,COMPLETED,NONE,1.883240796449286,0.3588631616155308,True,False
v3,D07_seed_00,COMPLETED,COMPLETED,2.2185652948358188,0.09785846646706704,COMPLETED,NONE,1.885690186590178,0.09859831039510691,True,False
v3,D08_seed_00,COMPLETED,COMPLETED,2.2211070025147257,0.09716199583877864,COMPLETED,NONE,1.8862718548526467,0.09790607774950152,True,False
v3,D09_seed_00,COMPLETED,COMPLETED,2.074676376121604,0.1116244782685617,COMPLETED,NONE,1.8607254215753188,0.10467052900991296,True,False
v3,D10_seed_00,COMPLETED,COMPLETED,2.044244653984479,0.15109449805566103,COMPLETED,NONE,1.8569424140331232,0.11739292278185366,True,False
v3,D11_seed_00,COMPLETED,COMPLETED,2.1462727898622274,0.10212502908309014,COMPLETED,NONE,1.8798444892728479,0.10211298168931728,True,False
v3,D12_seed_00,COMPLETED,COMPLETED,2.124662303036152,0.129350398834166,COMPLETED,NONE,1.862994712511913,0.11927609051057624,True,False
v3,D13_seed_00,COMPLETED,COMPLETED,3.2408807972627347,0.6302504169744229,COMPLETED,NONE,1.8965145272242077,0.6303657136194044,True,False
v3,D14_seed_00,COMPLETED,COMPLETED,13.894931016105842,1.8999642825023173,COMPLETED,NONE,2.024975433931414,1.8982578713802114,True,False
