package,archive_path,archive_size_bytes,sha256,verification_started,verification_ended,tar_tf_return_code,verification_status,message,delete_allowed_after_verify
PAPER10C_R1_completed_runtime_archive.tar.xz,<PAPER10Y_ARCHIVE_ROOT>/PAPER10C_R1_completed_runtime_archive.tar.xz,11087776688,523753b06ecae59e7e5eb5c0792e68aaf07a84f28af36018ba2c03ea046ffa92,2026-06-15 13:58:49,2026-06-15 14:15:04,0,PASS,,true
PAPER10C_go2_evidence_runtime_archive.tar.xz,<PAPER10Y_ARCHIVE_ROOT>/PAPER10C_go2_evidence_runtime_archive.tar.xz,6903397872,cdde8e82cfab0ac4c52a609ed907cbd57a42f5c032ec19253cb197674d7f2352,2026-06-15 14:15:04,2026-06-15 14:25:27,0,PASS,,true
PAPER10C_R1B_final_runtime_snapshot.tar.xz,<PAPER10Y_ARCHIVE_ROOT>/PAPER10C_R1B_final_runtime_snapshot.tar.xz,13665184,862edb728b21945028f143e5d7e1a9ddfb9daad6de38fc1782c434183f827637,2026-06-15 14:25:27,2026-06-15 14:25:28,0,PASS,,true
PAPER10_recent_maintenance_runtime_archive.tar.xz,<PAPER10Y_ARCHIVE_ROOT>/PAPER10_recent_maintenance_runtime_archive.tar.xz,892004,97b26d419f737d144c1a5c0c8837305c0a0a30a057fa77fcff4bf248404f64ca,2026-06-15 14:25:28,2026-06-15 14:25:28,0,PASS,,true
PAPER10_completed_worktrees_recent.tar.xz,<PAPER10Y_ARCHIVE_ROOT>/PAPER10_completed_worktrees_recent.tar.xz,3648832,68daa27e6cf2ccceea966c293ece35e1c901d2d596c5a5f463694d99f7b45162,2026-06-15 14:25:28,2026-06-15 14:25:28,0,PASS,,true
