table_line,case_id,family,type,seed,method,config,input_identity_note,source_run_dir,frozen_yaw_rmse_deg,frozen_horizontal_rmse_m,frozen_up_rmse_m,frozen_yaw_p95_deg,series_recheck_yaw_rmse_deg,series_recheck_horizontal_rmse_m,series_recheck_up_rmse_m,series_recheck_yaw_p95_deg,series_recheck_max_relative_difference,observer_yaw_rmse_deg,observer_horizontal_rmse_m,observer_up_rmse_m,observer_yaw_p95_deg,observer_metrics_status,audit_horizontal_max_m,audit_up_max_m,audit_yaw_max_deg,matched_epoch_count,max_discrepancy_time_s,horizontal_error_at_max_discrepancy_m,error_rate_at_max_discrepancy_mps,equivalent_time_offset_s,argmax_status,audit_hmax_over_frozen_hrmse,observer_h_rmse_lower_bound_m,observer_h_rmse_upper_bound_m,observer_vs_frozen_h_rmse_relative_difference,frozen_horizontal_max_m,frozen_horizontal_max_time_s,frozen_horizontal_error_vector_secant_rate_max_mps,error_series_dt_median_s,error_series_dt_p95_s,audit_policy,v2_audit_horizontal_max_m,v2_audit_up_max_m,v2_audit_yaw_max_deg,v2_audit_passed,v2_frozen_horizontal_rmse_m,summary_source,capture_source,error_series_source,v2_capture_source
86,D03_seed_06,位置中断,D03,seed_06,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06,3.002606684104245,1.6828041829603906,1.839430314632062,4.976123034395877,3.002606684104245,1.6828041829603906,1.839430314632062,4.976123034395877,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.050655073933148255,0.00019357007363751677,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03010158546435023,1.6321491090272424,1.7334592568935387,,19.68057313985921,263.3950664997101,4169.852209178705,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.050944664242576286,0.00019513034413520813,3.001332515850663e-11,False,1.7067323498742792,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_06__seed_06/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
87,D03_seed_06,位置中断,D03,seed_06,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06,12.403694854941095,0.4589268675286906,1.7756535350396894,16.92546961010647,12.403694854941095,0.45892686752869055,1.7756535350396894,16.92546961010647,1.2095859963524026e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.015473090677336964,5.307187661784951e-05,1.4210854715202004e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.03371580914549449,0.4434537768513536,0.4743999582060276,,5.967034094316545,263.3950664997101,1254.1904281847803,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.015795933578567557,5.435675119969119e-05,1.4210854715202004e-11,False,0.4982440437181718,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_06__seed_06/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
88,D03_seed_07,位置中断,D03,seed_07,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07,2.9678333339096006,1.1549238359836518,1.3223843582999577,4.824808545801253,2.9678333339096006,1.1549238359836518,1.3223843582999577,4.824808545801253,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.03434454411488028,7.763182867570606e-05,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.029737497006137148,1.1205792918687716,1.189268380098532,,13.97099807764573,252.3970580101013,4771.0036916529125,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.03465871682846734,7.912015401601025e-05,3.001332515850663e-11,False,1.1770460651871761,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_07__seed_07/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
89,D03_seed_07,位置中断,D03,seed_07,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07,13.052420796397397,1.0930051412680646,1.4052383152163812,17.30396098063023,13.052420796397397,1.0930051412680646,1.405238315216381,17.30396098063023,1.5801206280860658e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.026286328326945742,1.75862021922768e-05,1.4210854715202004e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.024049592572317917,1.066718812941119,1.1192914695950102,,13.522836882072223,252.3970580101013,4699.256627880534,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.02656862911093404,1.6354526765738342e-05,1.4210854715202004e-11,False,1.1110273898786298,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_07__seed_07/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
90,D03_seed_08,位置中断,D03,seed_08,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08,3.010143695282273,0.7185714206190482,2.1202416266235877,5.096945481222244,3.010143695282273,0.7185714206190482,2.1202416266235877,5.096945481222244,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.021159762514648885,6.771428869356555e-05,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.029446985932754993,0.6974116581043993,0.7397311831336971,,8.714527922829028,304.39505076408386,1781.7402726911237,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.02143752358569152,6.867138304400555e-05,3.001332515850663e-11,False,0.7493324455588758,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D03_seed_08__seed_08/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
91,D03_seed_08,位置中断,D03,seed_08,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08,12.941517008143999,0.7781023502968515,2.1364190094658406,17.109176509780852,12.941517008143999,0.7781023502968515,2.1364190094658406,17.109176509780852,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.022861480423209662,7.376827232974392e-05,1.4210854715202004e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.02938107103067848,0.7552408698736418,0.8009638307200612,,9.368454457803038,304.39505076408386,1953.6034022245276,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.023099509660904644,7.4592136019902e-05,1.4210854715202004e-11,False,0.8093852129664609,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D03_seed_08__seed_08/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
92,D04_seed_00,位置中断,D04,seed_00,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00,3.3056153593399107,6.433221015082921,7.804022766023532,5.451656681770347,3.305615359339911,6.433221015082921,7.804022766023532,5.451656681770347,1.3434388504860455e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.11397261867492613,0.0003237240578073397,3.2741809263825417e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.017716260393932242,6.319248396407995,6.547193633757847,,65.01771469969948,216.19708061218265,23256.03240315264,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.11417533228680755,0.0003225059412628184,3.2741809263825417e-11,False,6.438932246581681,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D04_seed_00__seed_00/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
93,D04_seed_00,位置中断,D04,seed_00,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00,11.156989285106,7.55586694512419,7.861713179600387,16.846009792633687,11.156989285106,7.55586694512419,7.861713179600386,16.846009792633687,1.129751746737308e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.13299332920468945,0.0003368033333615017,1.192006493511144e-10,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.01760133286763476,7.422873615919501,7.68886027432888,,76.56675517294903,216.19708061218265,27142.20566494373,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.13321401879521025,0.00033570192098153484,1.192006493511144e-10,False,7.566837839705492,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_00__seed_00/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
94,D04_seed_01,位置中断,D04,seed_01,LC01,LIT,,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01,3.016014157153275,7.137760725237226,11.048027208613584,4.968141341576634,3.016014157153275,7.137760725237226,11.048027208613584,4.968141341576635,1.787747889270523e-16,,,,,UNAVAILABLE_NOT_RETAINED,0.16314122201501563,0.00045511547141785513,3.001332515850663e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.02285607885932511,6.97461950322221,7.300901947252242,,63.5309827179976,117.39905667304993,68415.22987958278,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.16346180272507632,0.000456295418281627,3.001332515850663e-11,False,7.163022618062814,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__LC01__LIT__D04_seed_01__seed_01/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
95,D04_seed_01,位置中断,D04,seed_01,EXT05C,LIT,,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01,8.511537631961962,6.076730795015265,11.096525758011254,12.329768857835138,8.511537631961962,6.076730795015265,11.096525758011254,12.329768857835138,0.0,,,,,UNAVAILABLE_NOT_RETAINED,0.13856416919381875,0.00042374994185223613,1.5006662579253316e-11,58014,,,,,UNAVAILABLE_NOT_RETAINED,0.022802420226922474,5.938166625821446,6.215294964209083,,54.98341753370779,117.39905667304993,60978.28467388025,0.0040099620819233905,0.00800228118891937,default_local_sphere,0.13889166400422026,0.0004249790922941088,1.5006662579253316e-11,False,6.102103070749119,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/summary.json,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/EVALUATOR_CAPTURE.json,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01/eval/v3/OUTPUT/error_series.csv,$HX03/RUNS/BY2__EXT05C__LIT__D04_seed_01__seed_01/eval/v2/OUTPUT/EVALUATOR_CAPTURE.json
