variant,configuration_id,metric,case_count,valid_paired_count,unpaired_count,failure_count,not_run_count,not_applicable_count,paired_delta_mean,paired_delta_median,paired_delta_p95,paired_delta_worst_5pct_mean,worst_5pct_count,tail_definition,quantile_method,status,table_cohort,directional_decision,data_modes,data_mode,synthetic_data_used,semisynthetic_data_used
R5SIGMA,F04,yaw_rmse_deg,61,57,4,0,3,0,-1.7646087412160796,-0.3640386552360941,-0.2677793860363611,-0.08366913298360497,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5SIGMA,F04,yaw_p95_absolute_deg,61,57,4,0,3,0,-4.110439625453789,-0.7336424233623807,-0.5449868366267024,-0.25641024533665324,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5SIGMA,F04,roll_rmse_deg,61,57,4,0,3,0,-0.016795022353266086,-0.0001660244839647,0.012292408030712831,0.04020380716760587,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
R5SIGMA,F04,pitch_rmse_deg,61,57,4,0,3,0,-0.011217642808527616,0.0020956042521884,0.00311226420390038,0.006655611791780566,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,h_rmse_m,61,57,4,0,2,1,-0.2559374702158838,0.00072078085294654,0.0012413527596716262,0.0029556702035198265,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,position_3d_rmse_m,61,57,4,0,2,1,-0.25588505135586204,0.00068748673738926,0.0011523424183121104,0.0026668833409735034,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,up_rmse_m,61,57,4,0,2,1,-0.019176134022788026,9.6679442689194e-05,0.0004975030715442203,0.0026808030989950876,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,yaw_rmse_deg,61,57,4,0,2,1,-1.2669992681476536,-0.2924388658079597,-0.19978097572113798,-0.014438845746748427,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,yaw_p95_absolute_deg,61,57,4,0,2,1,-2.8611971138949097,-0.568481057959866,-0.38663521143224433,-0.09622670800715866,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,roll_rmse_deg,61,57,4,0,2,1,-0.055946981131905604,-0.029351284098547,-0.027476455385246623,-0.023752591562880534,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
B3,F04,pitch_rmse_deg,61,57,4,0,2,1,0.022007003969957202,0.0378972424071507,0.03863385877563456,0.045043749272709675,3,Largest ceil(0.05 * valid_paired_count) candidate-minus-frozen differences,LINEAR,AVAILABLE,DEGRADATION_SUBSET,NOT_DEFINED,"[""real_clean"", ""semisynthetic""]",MIXED_DATA_MODES,False,True
