sequence_id,method_id,start_convention,evaluator_contract,segment_id,window_start_s,window_end_s,count,error_series_source,endpoint_policy,status,h_rmse_m,position_3d_rmse_m,up_rmse_m,yaw_rmse_deg,roll_rmse_deg,pitch_rmse_deg,yaw_p95_absolute_deg,yaw_median_absolute_deg,data_mode,synthetic_data_used,semisynthetic_data_used,frozen_source_table,configuration_id,variant,delta_vs_frozen_h_rmse_m,delta_vs_frozen_position_3d_rmse_m,delta_vs_frozen_up_rmse_m,delta_vs_frozen_yaw_rmse_deg,delta_vs_frozen_yaw_p95_absolute_deg,delta_vs_frozen_roll_rmse_deg,delta_vs_frozen_pitch_rmse_deg,delta_vs_frozen_body_forward_bias_m,delta_vs_frozen_body_right_bias_m,delta_vs_frozen_body_up_bias_m,delta_vs_frozen_output_epoch_count,delta_vs_frozen_matched_epoch_count,delta_vs_frozen_coverage_ratio,delta_vs_frozen_gap_events_in_window,delta_vs_frozen_gnss2_pacc_inflated_epochs,delta_vs_frozen_gnss2_float_epochs,delta_vs_t5a_r5_h_rmse_m,delta_vs_t5a_r5_position_3d_rmse_m,delta_vs_t5a_r5_up_rmse_m,delta_vs_t5a_r5_yaw_rmse_deg,delta_vs_t5a_r5_yaw_p95_absolute_deg,delta_vs_t5a_r5_roll_rmse_deg,delta_vs_t5a_r5_pitch_rmse_deg,delta_vs_t5a_r5_body_forward_bias_m,delta_vs_t5a_r5_body_right_bias_m,delta_vs_t5a_r5_body_up_bias_m,delta_vs_t5a_r5_output_epoch_count,delta_vs_t5a_r5_matched_epoch_count,delta_vs_t5a_r5_coverage_ratio,delta_vs_t5a_r5_gap_events_in_window,delta_vs_t5a_r5_gnss2_pacc_inflated_epochs,delta_vs_t5a_r5_gnss2_float_epochs,role
BY2O,F04,FROZEN_V21,evaluator_contract_v3,full,3186.0,3563.0,76548,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.057041149159153724,0.0731928014290208,0.04586385814158297,3.197136492350906,1.5059072247937308,1.6961129933181778,6.118878906231627,2.002836388562656,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-18,0E-16,0E-17,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.002497938246278558,0.0019327057952274,0.00000495090371920,0.763321559527192,2.409635608588108,-0.0012051633683064,0.0010817389258076,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.030452974830670953,0.03433494120181795,0.015858893760121374,2.113702085582116,0.9148416589858672,0.2313029957441166,2.579688167729752,1.9790809596001537,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-18,0E-17,0E-18,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.006249003612852353,0.00540567194696119,0.000013692691437878,1.8811880035015861,2.11341758137086654,-0.0105748892071313,-0.00825306586766612,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.04563898235551861,0.06001334715871122,0.03897031083715718,1.3055880309678742,0.9171233970746139,2.226109712624651,2.369581519542443,0.8750836007465352,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-17,0E-17,0E-17,0E-16,0E-15,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.00512101590358900,0.00380723128493441,0.000016211486553135,-0.5559541632310378,-0.6706424966778597,0.0035771580410714,0.010071334041137,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.03513376379687438,0.04269128321915321,0.024252098968200485,1.932259341950813,0.9154484173669603,1.1644152556130707,2.563176139030574,1.9222154624263226,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-17,0E-17,0E-18,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.005699893804362955,0.00456173292521086,0.000013495401117385,0.9522807935121336,-0.069561086444672,-0.0068293746941031,0.0038849573161983,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F04,FROZEN_V21,evaluator_contract_v3,outside,3186.0,3563.0,66182,<CLEAN_ROOT>/stages/CLEAN6_SENSOR_MODEL_V21/RETAINED_RUNS/SEQUENCE_BY2O_F04/P13_cycle010_attempt01/v3/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.059749266006179656,0.07688180732173018,0.04838220239693957,3.3522973319198,1.5785088833103131,1.7649423680878231,7.027650945872411,2.047048050874565,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_HEXT_EXTERNAL_SEQUENCES/11_READONLY_CLOSEOUT_H_EXT_04L/BY2O_SEGMENT_SUMMARY.csv,F04,FROZEN_V21,0E-18,0E-17,0E-17,0E-13,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.002258131494711526,0.00174429793450438,0.00000436894504013,0.7637034011372575,2.948772269177652,-0.0007075207994754,0.0008013920502248,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.054724671058797664,0.07160218488253325,0.04617448708387419,2.309490986722553,1.8794633592686152,1.731210391662891,3.5627391812785363,0.9628517082608568,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F02,T5A_R5,-0.002608296424734356,-0.00201886779601997,-0.00000982017552471,-0.590250539097111,-1.9168652034671987,0.0052741541500614,-0.005068265207642,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-18,0E-17,0E-17,0E-15,0E-16,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.023858274152662378,0.028614775294161454,0.015798358129620754,0.8630369665699419,1.73328225085985,0.2672726440689726,1.234501717712982,0.8569251062229171,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F02,T5A_R5,-0.006218443835687305,-0.005365113618806466,-0.000013785481759790,-0.5659541766342756,-0.9608624778360164,0.017973439787067,-0.0144393605056424,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-18,0E-18,0E-18,0E-16,0E-15,0E-14,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.04316188362274738,0.05713520963194879,0.037436399156745084,1.57921171453566,1.2102078650301331,2.506865933256535,2.7084295514750156,1.2428137127733692,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F02,T5A_R5,-0.00657153287094702,-0.005141034312329236,-0.000045834550332056,-0.2301947070042393,-0.3839054774206528,0.0123867439095024,-0.019570285979317,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-17,0E-18,0E-14,0E-16,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.030214745283203406,0.03832166912277375,0.02357158229365368,1.0997822414139664,1.610967140843538,1.3122750593053187,2.2991469114193137,0.8658396749577406,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F02,T5A_R5,-0.006136360083983214,-0.00501716614190920,-0.00002612481282219,-0.4394746570689632,-0.2960045134478053,0.0166726220727156,-0.0121330186878897,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-18,0E-17,0E-17,0E-16,0E-16,0E-15,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,outside,3186.0,3563.0,66182,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F02/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.05762697665797966,0.07549749102822446,0.04877502140253247,2.445346804144604,1.9181162164938776,1.7879582476653255,3.892869896619672,1.0481298307889801,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F02,T5A_R5,-0.00233091605854620,-0.00179938884818652,-0.00000877446886201,-0.613151389435438,-2.741041171983446,0.0037907735838866,-0.0042780005527947,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-17,0E-17,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.054543210912875166,0.0712600956337934,0.04585890723786377,2.433814932823714,1.5071123881620372,1.6950312543923702,3.709243297643519,1.0775821408138597,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F04,T5A_R5,-0.002497938246278558,-0.0019327057952274,-0.00000495090371920,-0.763321559527192,-2.409635608588108,0.0012051633683064,-0.0010817389258076,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-18,0E-16,0E-17,0E-15,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.0242039712178186,0.02892926925485676,0.015845201068683496,0.2325140820805299,0.9254165481929985,0.23955606161178272,0.46627058635888546,0.16644744533310524,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F04,T5A_R5,-0.006249003612852353,-0.00540567194696119,-0.000013692691437878,-1.8811880035015861,-2.11341758137086654,0.0105748892071313,0.00825306586766612,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-16,0E-17,0E-18,0E-16,0E-17,0E-16,0E-17,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED,AVAILABLE,0.04051796645192961,0.05620611587377681,0.038954099350604045,1.861542194198912,0.9135462390335425,2.216038378583514,3.0402240162203027,1.6037390554154882,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F04,T5A_R5,-0.00512101590358900,-0.00380723128493441,-0.000016211486553135,0.5559541632310378,0.6706424966778597,-0.0035771580410714,-0.010071334041137,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-17,0E-18,0E-15,0E-16,0E-16,0E-15,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv.gz,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.029433869992511425,0.03812955029394235,0.0242386035670831,0.9799785484386794,0.9222777920610634,1.1605302982968724,2.632737225475246,0.2003190774598806,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F04,T5A_R5,-0.005699893804362955,-0.00456173292521086,-0.000013495401117385,-0.9522807935121336,0.069561086444672,0.0068293746941031,-0.0038849573161983,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-18,0E-17,0E-16,0E-16,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,outside,3186.0,3563.0,66182,<T5A_SCRATCH>/04_EVAL/v3/BY2O/F04/R5/FROZEN_EVALUATOR/error_series.csv.gz,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.05749113451146813,0.0751375093872258,0.04837783345189944,2.5885939307825425,1.5792164041097885,1.7641409760375983,4.078878676694759,1.2196693530531917,real_raw,False,False,<CLEAN_ROOT>/stages/CLEAN7_T5A_HEADING_SENSITIVITY/T5A_R/05_AGGREGATE/BY2O_SEGMENTS_BY_VARIANT.csv,F04,T5A_R5,-0.002258131494711526,-0.00174429793450438,-0.00000436894504013,-0.7637034011372575,-2.948772269177652,0.0007075207994754,-0.0008013920502248,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0E-17,0E-16,0E-17,0E-16,0E-15,0E-16,0E-16,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__F02__B3__SEQUENCE,CLOSED,AVAILABLE,0.054375325895639356,0.07155735835932432,0.046516442997157174,2.2253414558582603,1.4801577784088988,1.7450619554171338,3.47889096150067,1.1762176033939653,real_raw,False,False,,F02,B3,-0.002957641587892664,-0.00206369431922890,0.000332135737758274,-0.6744000699614037,-2.000713423245065,-0.3940314267096550,0.0087832985466008,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.000349345163158308,-0.00004482652320893,0.000341955913282984,-0.0841495308642927,-0.0838482197778663,-0.3993055808597164,0.0138515637542428,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_primary,3369.94,3411.95,7612,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__F02__B3__SEQUENCE,CLOSED,AVAILABLE,0.020672739732846772,0.026347279979118236,0.016334533793041735,1.6473657908526145,1.0251495971227362,0.5013231001984226,2.140760612645187,1.6508989247368788,real_raw,False,False,,F02,B3,-0.009403978255502911,-0.007632608933849684,0.000522390181661191,0.2183746476483970,-0.0546035829038114,-0.6901592139500468,0.2196110956238076,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.003185534419815606,-0.002267495315043218,0.000536175663420981,0.7843288242826726,0.906258894932205,-0.7081326537371138,0.2340504561294500,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,occlusion_secondary,3495.94,3508.94,2754,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__F02__B3__SEQUENCE,CLOSED,AVAILABLE,0.043306617820429674,0.05814607627315311,0.038800812348694196,1.8563136685515083,0.9157473204788059,2.5364384313011565,3.0409187448515196,1.59124066257543,real_raw,False,False,,F02,B3,-0.006426798673264726,-0.004130167671124916,0.001318578641617056,0.0469072470116090,-0.0514162840441488,-0.2820738006418248,0.0100022120653045,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0.000144734197682294,0.00101086664120432,0.001364413191949112,0.2771019540158483,0.3324891933765040,-0.2944605445513272,0.0295724980446215,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,inside_union,3186.0,3563.0,10366,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__F02__B3__SEQUENCE,UNION_OF_CLOSED_OCCLUSIONS,AVAILABLE,0.028497161345154273,0.037523254940771855,0.024411195313183736,1.7053773818025535,0.9972554282599257,1.376149427916308,2.632380952772408,1.6490558433494868,real_raw,False,False,,F02,B3,-0.007853944022032347,-0.005815580323911095,0.000813488206707866,0.1661204833196239,0.037229527905289,-0.5970390905108967,0.0517413499230996,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.001717583938049133,-0.000798414182001895,0.000839613019530056,0.6055951403885871,0.3332340413530943,-0.6137117125836123,0.0638743686109893,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,F02,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,outside,3186.0,3563.0,66182,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__F02__B3__SEQUENCE,CLOSED_WINDOW_MINUS_CLOSED_OCCLUSIONS,AVAILABLE,0.05738100778866265,0.07551114765975342,0.04908516441910447,2.296141854515417,1.542157441069202,1.7959933066247225,3.7812995082172036,1.0176843079590299,real_raw,False,False,,F02,B3,-0.00257688492786321,-0.00178573221665756,0.00030136854770999,-0.762356339064625,-2.8526115603859144,-0.372168001840789,0.0037570584066023,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,-0.00024596886931701,0.00001365663152896,0.00031014301657200,-0.149204949629187,-0.1115703884024684,-0.3759587754246756,0.0080350589593970,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
BY2O,A04,FROZEN_V21_RUNTIME_CONFIG,evaluator_contract_v3,full,3186.0,3563.0,76548,<T5BC_SCRATCH>/06_EVAL/v3/BY2O__A04__B3__SEQUENCE,CLOSED,AVAILABLE,0.054155724640700446,0.06989422510195509,0.04418552015359102,2.5163271514193757,1.4188998357927465,1.6733537613696052,3.8201495735394406,1.0869722472040735,real_raw,False,False,,A04,B3,-0.002265319600112824,-0.00176685699328822,0.000004342556820336,-0.6725045825238993,-2.2955163811173064,-0.0304537322906801,-0.0058940782814354,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,SENSITIVITY_OUTSIDE_FROZEN_CHAIN
