category,method_id,config,sequence,start_mode,output_type,metric,value,denominator_or_valid_epochs,failure_flag,source,notes
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,heading_drift_deg_per_min,17.42370710170332,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.heading_drift_deg_per_min,Signed OLS slope with intercept
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,aligned_horizontal_rmse_m,35.46360477430439,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.horizontal_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,aligned_up_rmse_m,8.200647933234007,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.up_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,aligned_yaw_rmse_deg,42.27647901351876,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,aligned_horizontal_max_m,76.33671780847058,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.horizontal_max_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,reference_path_length_m,328.4713109046748,scored=2741,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.reference_path_length_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_1s_translation_rmse_m,0.7241794779665108,pairs=2731,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_1s_yaw_rmse_deg,1.27852456421057,pairs=2731,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.1s.yaw_rmse_deg,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_5s_translation_rmse_m,2.1813977819744346,pairs=2691,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.translation_rmse_m,
legged_state_estimation,HARTLEY_OFFICIAL,OFF-DEF,BY2,C00,relative_pose,rpe_5s_yaw_rmse_deg,2.95618102659036,pairs=2691,NONE,$HX02E/RUNS/BY2__HARTLEY_OFFICIAL__OFF-DEF__C00/RESULT.json:metrics.relative_pose_error_yaw_translation.5s.yaw_rmse_deg,
