dataset,go2_mode,row_status,rows
BY2,G00_NO_GO2,COMPLETED_EVALUABLE,120
BY2,G01_GO2_RP_ONLY,COMPLETED_EVALUABLE,120
BY2,G02_GO2_HVEL_ONLY,COMPLETED_EVALUABLE,120
BY2,G03_GO2_READINESS_ONLY,BLOCKED_WITH_PROOF,120
BY2,G04_GO2_RP_HVEL,COMPLETED_EVALUABLE,120
BY2,G05_GO2_FULL_AUX,BLOCKED_WITH_PROOF,120
