dataset,go2_mode,completed_rows,position_rmse_h_mean,delta_h_vs_G00,up_rmse_mean,delta_up_vs_G00,roll_rmse_mean,delta_roll_vs_G00,pitch_rmse_mean,delta_pitch_vs_G00,yaw_rmse_mean,delta_yaw_vs_G00,status
BY2,G00_NO_GO2,120,1.4410323767505917,0.0,1.517179959099703,0.0,1.6145136604685122,0.0,1.9942267808594143,0.0,11.053623865806363,0.0,completed
BY2,G01_GO2_RP_ONLY,120,1.437855813025,-0.003176563725591608,1.5138980590371187,-0.003281900062584331,1.5876293073893424,-0.02688435307916981,1.982559282714242,-0.011667498145172317,11.141683258455975,0.08805939264961182,completed
BY2,G02_GO2_HVEL_ONLY,120,1.4407746121014695,-0.0002577646491221941,1.5170577126773694,-0.00012224642233360505,1.6136823790888395,-0.0008312813796726992,1.993709338309048,-0.0005174425503662317,11.056251833704223,0.0026279678978600174,completed
BY2,G04_GO2_RP_HVEL,120,1.4376256955474118,-0.0034066812031798843,1.513788583644577,-0.0033913754551260222,1.5868763381781672,-0.02763732229034499,1.982095837816989,-0.012130943042425235,11.145221702393505,0.09159783658714105,completed
BY3,all,0,,,,,,,,,,,BLOCKED_WITH_PROOF_BY3_GO2_PROVIDER_NOT_FOUND
