dataset,motion_state,rows,fraction
BY2,NORMAL_MOTION,58494,0.9243971048389645
BY2,STANCE_STABLE,4350,0.06874427131072411
BY2,IMPACT_OR_ROUGH,434,0.006858623850311324
BY2,IN_PLACE_TURN,0,0.0
BY2,UNKNOWN,0,0.0
