family,LC01,EXT05C,F02,F03,A04,F04,LC01_minus_F04,LC01_minus_F02,source_ids,notes
位置噪声,18/18 原生发散,18/18 原生发散,yaw_rmse_deg=6.287743/20.578843 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.576821/2.266653 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=1.486611/2.646601 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=19.384049/117.182075 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.23933/1.765616 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=1.2209/2.159625 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.002676/10.561229 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.128472/1.613636 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=1.215502/2.149858 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.957997/9.105168 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.262429/1.940288 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=1.235814/2.251955 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; up_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; up_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0],DEGRADATION.位置噪声.LC01 | DEGRADATION.位置噪声.EXT05C | DEGRADATION.位置噪声.F02 | DEGRADATION.位置噪声.F03 | DEGRADATION.位置噪声.A04 | DEGRADATION.位置噪声.F04 | PAIRED.位置噪声.LC01-F04 | PAIRED.位置噪声.LC01-F02,D14/D21: LC01、EXT05C 各 18/18 原生发散；PRE_FAILURE 不并入分布
位置偏差,yaw_rmse_deg=2.994827/2.994835 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.610601/1.752856 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.541689/0.60979 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=12.048408/12.103457 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.613899/1.746984 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.542867/0.610204 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.231952/2.231953 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.612137/1.761693 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.543197/0.588082 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.915591/1.915674 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.610956/1.754351 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.543007/0.587207 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.886001/1.886146 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.61063/1.751599 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.542666/0.591442 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.886272/1.886382 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.610689/1.750921 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.542652/0.590821 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.108555 [n=18]; horizontal_rmse_m=-0.003342 [n=18]; up_rmse_m=0.017503 [n=18],yaw_rmse_deg=0.762875 [n=18]; horizontal_rmse_m=-0.012381 [n=18]; up_rmse_m=0.019801 [n=18],DEGRADATION.位置偏差.LC01 | DEGRADATION.位置偏差.EXT05C | DEGRADATION.位置偏差.F02 | DEGRADATION.位置偏差.F03 | DEGRADATION.位置偏差.A04 | DEGRADATION.位置偏差.F04 | PAIRED.位置偏差.LC01-F04 | PAIRED.位置偏差.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
位置中断,yaw_rmse_deg=2.998062/3.074818 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.40735/7.769345 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=4.978736/11.373684 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=12.430567/18.636906 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.422223/7.8667 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=5.029571/11.502811 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.231727/2.234473 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.91322/17.077198 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.354469/1.726632 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.914836/1.915516 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.106653/0.118806 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.04872/0.053602 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.885491/1.885976 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.112287/0.150998 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.052473/0.101488 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.885657/1.886236 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.106991/0.128009 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.050229/0.079663 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.112334 [n=18]; horizontal_rmse_m=1.294719 [n=18]; up_rmse_m=4.928824 [n=18],yaw_rmse_deg=0.766266 [n=18]; horizontal_rmse_m=-1.494356 [n=18]; up_rmse_m=4.262135 [n=18],DEGRADATION.位置中断.LC01 | DEGRADATION.位置中断.EXT05C | DEGRADATION.位置中断.F02 | DEGRADATION.位置中断.F03 | DEGRADATION.位置中断.A04 | DEGRADATION.位置中断.F04 | PAIRED.位置中断.LC01-F04 | PAIRED.位置中断.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
速度中断,yaw_rmse_deg=2.994827/3.003737 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.259805/1.234106 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.622186/2.125223 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=12.048642/12.958153 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.154539/0.906142 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.652628/2.14557 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.231952/2.232351 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.170527/2.74426 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.101304/0.366722 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.914533/1.915778 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.17774/2.685938 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.077046/0.369917 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.884627/1.886307 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.099354/0.143844 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.055945/0.523922 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.884919/1.88643 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.104648/0.144169 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.054955/0.310501 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.110709 [n=18]; horizontal_rmse_m=0.1552 [n=18]; up_rmse_m=0.153381 [n=18],yaw_rmse_deg=0.762875 [n=18]; horizontal_rmse_m=-0.004374 [n=18]; up_rmse_m=0.416189 [n=18],DEGRADATION.速度中断.LC01 | DEGRADATION.速度中断.EXT05C | DEGRADATION.速度中断.F02 | DEGRADATION.速度中断.F03 | DEGRADATION.速度中断.A04 | DEGRADATION.速度中断.F04 | PAIRED.速度中断.LC01-F04 | PAIRED.速度中断.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
航向噪声,yaw_rmse_deg=3.258964/4.01747 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.098283/0.099761 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.05067/0.050682 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=12.048642/12.048642 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.087751/0.087751 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.05647/0.05647 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=2.26559/2.720069 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.101852/0.102378 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.048067/0.048074 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.974834/2.417294 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.099827/0.10002 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.047872/0.047876 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.948327/2.378645 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.096806/0.097173 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.050018/0.050021 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.947944/2.383516 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.097807/0.098041 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.048995/0.048997 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.352374 [n=27]; horizontal_rmse_m=0.000335 [n=27]; up_rmse_m=0.001675 [n=27],yaw_rmse_deg=1.020388 [n=27]; horizontal_rmse_m=-0.003788 [n=27]; up_rmse_m=0.002604 [n=27],DEGRADATION.航向噪声.LC01 | DEGRADATION.航向噪声.EXT05C | DEGRADATION.航向噪声.F02 | DEGRADATION.航向噪声.F03 | DEGRADATION.航向噪声.A04 | DEGRADATION.航向噪声.F04 | PAIRED.航向噪声.LC01-F04 | PAIRED.航向噪声.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
航向中断,yaw_rmse_deg=3.016014/3.305615 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=3.136051/8.326274 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=9.186026/11.877938 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=12.048642/18.636906 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.919596/7.8667 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=3.959092/11.502811 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.299268/2.48832 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.861243/17.05734 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.144033/1.72675 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.93952/2.048418 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.770378/17.087853 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.135298/1.583191 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.909739/1.997532 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.824458/14.6546 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.165811/1.837227 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.909147/1.998877 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.50673/15.217129 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.079276/1.837428 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.114068 [n=18]; horizontal_rmse_m=1.309445 [n=18]; up_rmse_m=8.975615 [n=18],yaw_rmse_deg=0.713242 [n=18]; horizontal_rmse_m=1.468053 [n=18]; up_rmse_m=8.90285 [n=18],DEGRADATION.航向中断.LC01 | DEGRADATION.航向中断.EXT05C | DEGRADATION.航向中断.F02 | DEGRADATION.航向中断.F03 | DEGRADATION.航向中断.A04 | DEGRADATION.航向中断.F04 | PAIRED.航向中断.LC01-F04 | PAIRED.航向中断.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
多普勒,yaw_rmse_deg=2.994827/2.994827 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.097548/0.097548 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.050664/0.050664 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=12.048642/12.048642 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.087751/0.087751 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.05647/0.05647 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=2.231952/2.231952 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.101922/0.101922 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.048068/0.048068 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.915591/1.915591 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.09992/0.09992 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.047874/0.047874 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.88637/1.888572 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.096957/0.098059 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.049888/0.050055 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.886088/1.887468 [finite=27/27; failure_or_unavailable=0]; horizontal_rmse_m=0.097957/0.098704 [finite=27/27; failure_or_unavailable=0]; up_rmse_m=0.04889/0.049004 [finite=27/27; failure_or_unavailable=0],yaw_rmse_deg=1.108739 [n=27]; horizontal_rmse_m=-0.000409 [n=27]; up_rmse_m=0.001774 [n=27],yaw_rmse_deg=0.762875 [n=27]; horizontal_rmse_m=-0.004374 [n=27]; up_rmse_m=0.002596 [n=27],DEGRADATION.多普勒.LC01 | DEGRADATION.多普勒.EXT05C | DEGRADATION.多普勒.F02 | DEGRADATION.多普勒.F03 | DEGRADATION.多普勒.A04 | DEGRADATION.多普勒.F04 | PAIRED.多普勒.LC01-F04 | PAIRED.多普勒.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
时间戳,yaw_rmse_deg=2.980585/3.076628 [finite=9/9; failure_or_unavailable=0]; horizontal_rmse_m=0.166742/0.30521 [finite=9/9; failure_or_unavailable=0]; up_rmse_m=0.050346/0.050546 [finite=9/9; failure_or_unavailable=0],yaw_rmse_deg=19.361008/60.639367 [finite=9/9; failure_or_unavailable=0]; horizontal_rmse_m=0.167455/0.225951 [finite=9/9; failure_or_unavailable=0]; up_rmse_m=0.055879/0.056163 [finite=9/9; failure_or_unavailable=0],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; up_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; up_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; up_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9]; up_rmse_m=UNAVAILABLE_NO_FINITE_SAMPLES [finite=0/9; failure_or_unavailable=9],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; up_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0],yaw_rmse_deg=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; horizontal_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0]; up_rmse_m=UNAVAILABLE_NO_FINITE_PAIRS [n=0],DEGRADATION.时间戳.LC01 | DEGRADATION.时间戳.EXT05C | DEGRADATION.时间戳.F02 | DEGRADATION.时间戳.F03 | DEGRADATION.时间戳.A04 | DEGRADATION.时间戳.F04 | PAIRED.时间戳.LC01-F04 | PAIRED.时间戳.LC01-F02,LC01 只移位置时间，F04 在 v3 下全程无有效航向，暴露不同
A2,yaw_rmse_deg=2.998062/3.074818 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.40735/7.769345 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=4.978736/11.373684 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=12.430567/18.636906 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=1.422223/7.8667 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=5.029571/11.502811 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=2.231727/2.234473 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.91322/17.077198 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.354469/1.726632 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.91482/1.916816 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=2.850681/17.114987 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.365689/1.583633 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.884867/1.886118 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.182358/0.295015 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.388361/1.841888 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.884784/1.88634 [finite=18/18; failure_or_unavailable=0]; horizontal_rmse_m=0.176671/0.287747 [finite=18/18; failure_or_unavailable=0]; up_rmse_m=0.399837/1.836011 [finite=18/18; failure_or_unavailable=0],yaw_rmse_deg=1.11288 [n=18]; horizontal_rmse_m=1.187545 [n=18]; up_rmse_m=3.967224 [n=18],yaw_rmse_deg=0.766266 [n=18]; horizontal_rmse_m=-1.494356 [n=18]; up_rmse_m=4.262135 [n=18],DEGRADATION.A2.LC01 | DEGRADATION.A2.EXT05C | DEGRADATION.A2.F02 | DEGRADATION.A2.F03 | DEGRADATION.A2.A04 | DEGRADATION.A2.F04 | DEGRADATION.A2.LC01-BR | PAIRED.A2.LC01-F04 | PAIRED.A2.LC01-F02,各指标只纳入有限值；失败或不可用保留登记分母；配对仅双方有限
